Utility Characteristics,,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,Service Type,"Data Type
O = Observed
I = Imputed",State,Ownership,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2017,694,Anza Electric Coop Inc,A,Bundled,O,CA,Cooperative,WALC,"8,498.00","47,396","4,338","2,113.00","11,840",333,0,0,0,.,.,.,"10,611.00","59,236","4,671"
2017,719,Town of Apex- (NC),A,Bundled,O,NC,Municipal,CPLE,"19,078.70","188,460","16,934","10,141.40","115,338","1,469",.,.,.,.,.,.,"29,220.10","303,798","18,403"
2017,727,Appalachian Electric Coop,A,Bundled,O,TN,Cooperative,TVA,"66,123.00","573,078","39,763","28,123.00","246,674","6,524","4,021.00","70,381",5,0,0,0,"98,267.00","890,133","46,291"
2017,733,Appalachian Power Co,A,Bundled,O,VA,Investor Owned,PJM,"668,736.00","5,845,299","451,183","350,171.00","3,857,530","76,766","346,903.00","5,165,262","1,872",0,0,0,"1,365,810.00","14,868,091","529,821"
2017,733,Appalachian Power Co,A,Bundled,O,WV,Investor Owned,PJM,"574,030.00","4,855,573","357,387","313,447.00","3,380,620","66,352","291,673.00","4,325,050","2,243",0,0,0,"1,179,150.00","12,561,243","425,982"
2017,733,Appalachian Power Co,C,Delivery,O,VA,Investor Owned,PJM,0,0,0,442,"50,970",54,447,"112,729",3,0,0,0,889,"163,699",57
2017,750,Arab Electric Coop Inc,A,Bundled,O,AL,Cooperative,TVA,"19,778.00","179,106","12,510","11,676.00","105,036","2,963",369,"4,296",1,0,0,0,"31,823.00","288,438","15,473"
2017,803,Arizona Public Service Co,A,Bundled,O,AZ,Investor Owned,AZPS,"1,792,453.00","13,207,135","1,080,665","1,423,610.00","12,526,675","129,904","190,954.00","2,284,201","4,058",.,.,.,"3,407,017.00","28,018,011","1,214,627"
2017,814,Entergy Arkansas Inc,A,Bundled,O,AR,Investor Owned,MISO,"761,278.70","7,298,398","591,111","509,944.20","6,061,639","94,320","468,306.10","7,528,292","23,423",9.7,78,1,"1,739,538.70","20,888,407","708,855"
2017,814,Entergy Arkansas Inc,A,Bundled,O,TN,Investor Owned,MISO,1.8,18,2,3.1,22,3,1.7,9,3,0,0,0,6.6,49,8
2017,817,Arkansas Valley Elec Coop Corp,A,Bundled,O,AR,Cooperative,SWPP,"74,314.20","676,759","50,951","16,980.50","168,692","3,766","14,037.40","257,717",26,0,0,0,"105,332.10","1,103,168","54,743"
2017,817,Arkansas Valley Elec Coop Corp,A,Bundled,O,OK,Cooperative,SWPP,"5,897.00","53,468","4,111","2,740.20","29,444",487,0,0,0,0,0,0,"8,637.20","82,912","4,598"
2017,828,City of Arlington - (MN),A,Bundled,O,MN,Municipal,MISO,783.7,"8,148",972,735.1,"7,531",162,0,0,0,0,0,0,"1,518.80","15,679","1,134"
2017,887,"Arrowhead Electric Coop, Inc",A,Bundled,O,MN,Cooperative,MISO,"6,338.60","42,863","3,803","3,269.40","29,113",431,.,.,.,.,.,.,"9,608.00","71,976","4,234"
2017,907,City of Ashland - (OR),A,Bundled,O,OR,Municipal,PACW,"8,112.80","92,940","10,386","7,264.70","84,350","1,613",.,.,.,.,.,.,"15,377.50","177,290","11,999"
2017,918,City of Aspen- (CO),A,Bundled,O,CO,Municipal,PSCO,"2,622.00","22,063","2,017","4,348.00","42,411","1,005",.,.,.,.,.,.,"6,970.00","64,474","3,022"
2017,942,Atchison-Holt Electric Coop,A,Bundled,O,IA,Cooperative,AECI,"1,355.00","9,597","1,019",605,"5,617",85,200,908,60,.,.,.,"2,160.00","16,122","1,164"
2017,942,Atchison-Holt Electric Coop,A,Bundled,O,MO,Cooperative,AECI,"3,508.00","24,848","2,353","1,560.00","14,543",197,"2,092.00","27,702",142,.,.,.,"7,160.00","67,093","2,692"
2017,944,City of Athens - (AL),A,Bundled,O,AL,Municipal,TVA,"59,036.00","595,013","38,921","33,652.00","317,955","6,985","10,717.00","180,841",11,0,0,0,"103,405.00","1,093,809","45,917"
2017,947,Athens Utility Board,A,Bundled,O,TN,Municipal,TVA,"15,008.00","146,564","10,903","16,578.00","151,618","2,295","17,191.00","330,579",8,0,0,0,"48,777.00","628,761","13,207"
2017,963,Atlantic City Electric Co,A,Bundled,O,NJ,Investor Owned,PJM,"571,316.50","3,241,101","415,072","171,196.90","1,125,750","44,441","8,221.90","81,184",429,0,0,0,"750,735.30","4,448,035","459,942"
2017,963,Atlantic City Electric Co,C,Delivery,O,NJ,Investor Owned,PJM,"47,519.90","611,602","70,918","161,606.50","2,864,249","20,097","27,467.50","660,667",375,0,0,0,"236,593.90","4,136,518","91,390"
2017,965,Atlantic Municipal Utilities,A,Bundled,O,IA,Municipal,MISO,"3,385.20","39,357","3,825","4,329.20","57,288",832,651.6,"11,468",1,.,.,.,"8,366.00","108,113","4,658"
2017,970,Homefield Energy,B,Energy,O,IL,Retail Power Marketer,PJM,"67,843.30","1,004,373","101,713","27,511.40","303,342",177,"1,432.50","13,769",19,0,0,0,"96,787.20","1,321,484","101,909"
2017,970,Homefield Energy,B,Energy,O,IL,Retail Power Marketer,MISO,"261,702.30","4,463,171","465,863","145,169.10","2,509,158","3,102","22,234.50","496,259",107,"1,848.50","22,839",1,"430,954.40","7,491,427","469,073"
