Utility Characteristics,,,,,,Demand,,Energy Sources (Megawatthours),,,,,,,,,,Disposition,,,,,,Electric Revenues,,,,,,,
,,,,,,(Megawatts),,,,Power Exchanged,,,Wheeled Power,,,,,(Megawatthours),,,,,,(Thousands Dollars),,,,,,,
Data Year,Utility Number,Utility Name,State,Ownership Type,NERC Region,Summer Peak Demand,Winter Peak Demand,Net Generation,Wholesale Power Purchases,Exchange Energy Received,Exchange Energy Delivered,Net Power Exchanged,Wheeled Power Received,Wheeled Power Delivered,Net Wheeled Power,Transmission by Other Losses,Total Sources,Retail Sales,Sales for Resale,Furnished without Charge,Consumed by Respondent without Charge,Total Energy Losses,Total Disposition,From Retail Sales,From Delivery Customers,From Sales for Resale,From Credits or Adjustments,From Transmission,From Other,Total,"Data Type
O = Observed
I = Imputed"
2019,366,City of Allendale- (IL),IL,Municipal,RFC,1.1,0.6,0,"3,083",0,0,0,0,0,0,0,"3,083","3,083",0,0,0,0,"3,083",366,0,0,0,0,0,366,O
2019,367,City of Alliance- (NE),NE,Municipal,MRO,24.7,20.1,32,"116,882",0,0,0,0,0,0,"-4,385","112,529","108,070",0,"1,932",0,"2,527","112,529","13,012.90",0,0,0,0,"1,059.60","14,072.50",O
2019,385,City of Alma - (KS),KS,Municipal,SSP,3,1,0,"12,711",0,0,0,0,0,0,0,"12,711","12,711",0,0,0,0,"12,711","1,532.00",0,0,0,0,0,"1,532.00",O
2019,392,Alpena Power Co,MI,Investor Owned,RFC,59,53,0,"348,342",0,0,0,0,0,0,0,"348,342","333,474",0,0,123,"14,745","348,342","34,370.60",0,0,0,0,257.4,"34,628.00",O
2019,405,City of Alta - (IA),IA,Municipal,MRO,4.1,3.6,119,"18,661",0,0,0,0,0,0,0,"18,780","18,780",0,0,0,0,"18,780","1,933.00",0,0,0,160.6,0,"2,093.60",O
2019,406,City of Altamont - (IL),IL,Municipal,RFC,6.4,4.3,71,"26,000",0,0,0,0,0,0,0,"26,071","22,879",0,0,0,"3,192","26,071","2,437.00",0,0,0,0,136,"2,573.00",O
2019,407,Altamaha Electric Member Corp,GA,Cooperative,SERC,94.1,97.2,0,"451,195",0,0,0,0,0,0,0,"451,195","440,677",0,0,0,"10,518","451,195","52,878.00",0,0,0,0,597,"53,475.00",O
2019,408,City of Altamont - (KS),KS,Municipal,SPP,2.4,1.3,0,"8,286",0,0,0,0,0,0,0,"8,286","7,514",0,0,0,772,"8,286",899,0,0,0,0,0,899,O
2019,416,City of Altus - (OK),OK,Municipal,MRO,57.6,29.4,0,"219,167",0,0,0,0,0,0,0,"219,167","196,655",0,0,"9,137","13,375","219,167","23,102.00",0,0,0,0,0,"23,102.00",O
2019,432,City of Alta Vista- (IA),IA,Municipal,MRO,0.4,0.5,0,"1,761",0,0,0,0,0,0,125,"1,886","1,695",0,66,125,0,"1,886",182.2,0,0,0,0,2,184.2,O
2019,471,Amana Society Service Co,IA,Investor Owned,MRO,15,14,"2,490","96,422",0,0,0,0,0,0,0,"98,912","98,607",0,0,0,305,"98,912","8,261.00",0,0,0,0,65,"8,326.00",O
2019,482,City of Alvarado - (MN),MN,Municipal,MRO,1.2,1,0,"4,272",0,0,0,0,0,0,0,"4,272","3,841",0,168,0,263,"4,272",459,0,0,0,0,0,459,O
