Utility Characteristics,,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,Service Type,"Data Type
O = Observed
I = Imputed",State,Ownership,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2019,471,Amana Society Service Co,A,Bundled,O,IA,Investor Owned,MISO,961,"7,260",709,"1,003.00","8,500",181,"6,297.00","82,847",1,0,0,0,"8,261.00","98,607",891
2019,482,City of Alvarado - (MN),A,Bundled,O,MN,Municipal,MISO,305,"2,739",164,154,"1,102",31,.,.,.,.,.,.,459,"3,841",195
2019,540,BP Energy Company,B,Energy,O,WA,Retail Power Marketer,PSEI,0,0,0,0,0,0,"24,463.00","836,461",2,0,0,0,"24,463.00","836,461",2
2019,540,BP Energy Company,D,Bundled,O,TX,Retail Power Marketer,ERCO,0,0,0,0,0,0,"4,329.00","60,957",3,0,0,0,"4,329.00","60,957",3
2019,554,City of Ames - (IA),A,Bundled,O,IA,Municipal,MISO,"19,680.10","169,030","23,943","27,774.40","341,429","3,006","10,240.60","128,996",7,0,0,0,"57,695.10","639,455","26,956"
2019,560,City of Amherst- (OH),A,Bundled,O,OH,Municipal,PJM,"6,909.00","58,494","5,586","1,985.00","15,844",612,"3,857.00","32,667",78,.,.,.,"12,751.00","107,005","6,276"
2019,562,Amicalola Electric Member Corp,A,Bundled,O,GA,Cooperative,SOCO,"74,868.90","666,875","44,909","14,760.60","119,512","5,082",0,0,0,0,0,0,"89,629.50","786,387","49,991"
2019,571,City of Amory,A,Bundled,O,MS,Municipal,TVA,"4,273.00","40,174","2,881","6,113.00","54,152","1,122","2,781.00","34,942",3,0,0,0,"13,167.00","129,268","4,006"
2019,577,City of Alcoa Utilities,A,Bundled,O,TN,Municipal,TVA,"42,659.00","391,395","25,859","24,599.00","230,483","3,856",143,"1,026",1,0,0,0,"67,401.00","622,904","29,716"
2019,588,Anadarko Public Works Authority,A,Bundled,O,OK,Municipal,SWPP,"2,478.00","25,392","1,914","2,413.00","28,706",532,.,.,.,.,.,.,"4,891.00","54,098","2,446"
2019,590,City of Anaheim - (CA),A,Bundled,O,CA,Municipal,CISO,"99,321.00","584,770","102,567","131,998.00","740,875","17,415","131,553.00","911,473",297,.,.,.,"362,872.00","2,237,118","120,279"
2019,599,Anchorage Municipal Light and Power,A,Bundled,O,AK,Municipal,AMPL,"26,832.60","115,730","24,721","131,736.00","807,698","6,413",.,.,.,.,.,.,"158,568.60","923,428","31,134"
2019,604,City of Andalusia,A,Bundled,O,AL,Municipal,AEC,"5,625.00","43,116","3,632","8,575.00","60,488","1,007","14,093.00","275,604",2,.,.,.,"28,293.00","379,208","4,641"
2019,636,City of Anderson - (IN),A,Bundled,O,IN,Municipal,PJM,"35,145.30","316,543","30,444","28,778.20","301,195","3,846","17,708.70","248,778",61,0,0,0,"81,632.20","866,516","34,351"
2019,661,Village of Andover - (NY),A,Bundled,O,NY,Municipal,NYIS,194,"4,454",600,114,"2,617",10,.,.,.,.,.,.,308,"7,071",610
2019,669,Village of Angelica - (NY),A,Bundled,O,NY,Municipal,NYIS,407.6,"6,470",644,286.7,"3,555",79,.,.,.,.,.,.,694.3,"10,025",723
2019,682,City of Anita - (IA),A,Bundled,O,IA,Municipal,MISO,426.2,"4,912",488,312.3,"3,820",115,.,.,.,.,.,.,738.5,"8,732",603
2019,689,Connexus Energy,A,Bundled,O,MN,Cooperative,MISO,"156,758.40","1,166,185","123,966","65,799.70","622,260","11,512","13,859.10","167,885",412,0,0,0,"236,417.20","1,956,330","135,890"
2019,690,City of Bardstown - (KY),A,Bundled,O,KY,Municipal,LGEE,"3,884.00","45,559","3,425","4,640.00","56,738","1,213","9,635.00","98,380",15,.,.,.,"18,159.00","200,677","4,653"
2019,691,City of Anoka,A,Bundled,O,MN,Municipal,MISO,"9,864.00","72,990","10,909","9,184.00","94,060","1,329","9,900.00","99,956",16,.,.,.,"28,948.00","267,006","12,254"
2019,694,Anza Electric Coop Inc,A,Bundled,O,CA,Cooperative,WALC,"9,305.00","49,819","4,435","2,097.00","11,213",343,0,0,0,.,.,.,"11,402.00","61,032","4,778"
2019,695,City of Ansley - (NE),A,Bundled,O,NE,Municipal,SWPP,366,"2,233",260,258,"1,693",82,0,0,0,0,0,0,624,"3,926",342
2019,700,City of Anthon - (IA),A,Bundled,O,IA,Municipal,SWPP,453,"4,341",312,217,"1,982",47,0,0,0,.,.,.,670,"6,323",359
2019,701,City of Anthony - (KS),A,Bundled,O,KS,Municipal,SWPP,"1,815.00","13,408","1,548","2,060.00","18,386",341,96,693,10,.,.,.,"3,971.00","32,487","1,899"
2019,719,Town of Apex- (NC),A,Bundled,O,NC,Municipal,CPLE,"22,681.10","223,168","20,526","10,583.00","118,292","1,657",.,.,.,.,.,.,"33,264.10","341,460","22,183"
2019,723,City of Aplington,A,Bundled,O,IA,Municipal,MISO,608,"4,938",482,188,"1,588",66,.,.,.,.,.,.,796,"6,526",548
2019,727,Appalachian Electric Coop,A,Bundled,O,TN,Cooperative,TVA,"71,578.00","617,841","40,466","28,759.00","247,707","6,702","4,930.00","76,152",7,0,0,0,"105,267.00","941,700","47,175"
2019,733,Appalachian Power Co,A,Bundled,O,VA,Investor Owned,PJM,"679,655.00","6,194,040","453,321","330,404.00","3,836,385","77,763","314,750.00","4,763,605","1,950",0,0,0,"1,324,809.00","14,794,030","533,034"
2019,733,Appalachian Power Co,A,Bundled,O,WV,Investor Owned,PJM,"592,670.00","5,059,375","353,017","306,914.00","3,329,554","66,276","279,231.00","4,352,190","2,290",0,0,0,"1,178,815.00","12,741,119","421,583"
2019,733,Appalachian Power Co,C,Delivery,O,VA,Investor Owned,PJM,0,0,0,442,"55,505",61,622,"430,440",9,0,0,0,"1,064.00","485,945",70
2019,737,Aguila Irrigation District,A,Bundled,O,AZ,Political Subdivision,AZPS,.,.,.,.,.,.,"1,523.00","26,569",56,.,.,.,"1,523.00","26,569",56
2019,750,Arab Electric Coop Inc,A,Bundled,O,AL,Cooperative,TVA,"21,523.00","196,202","12,827","12,158.00","109,285","2,750",198,"4,036",1,0,0,0,"33,879.00","309,523","15,578"
2019,752,City of Arapahoe - (NE),A,Bundled,O,NE,Municipal,SWPP,798.1,"5,166",538,631.4,"4,615",159,53.7,225,26,.,.,.,"1,483.20","10,006",723
2019,765,City of Arcadia - (WI),A,Bundled,O,WI,Municipal,MISO,"1,292.40","12,029","1,326",553.2,"4,931",234,"5,209.70","70,260",61,.,.,.,"7,055.30","87,220","1,621"
2019,768,City of Arcanum - (OH),A,Bundled,O,OH,Municipal,PJM,"1,981.00","16,800","1,500",239,"1,974",122,374,"3,271",27,.,.,.,"2,594.00","22,045","1,649"
2019,789,Town of Argos,A,Bundled,O,IN,Municipal,MISO,828.7,"6,445",748,543.5,"4,260",99,"1,462.80","14,594",5,0,0,0,"2,835.00","25,299",852
2019,792,City of Argyle - (WI),A,Bundled,O,WI,Municipal,MISO,306.5,"3,691",400,125.2,"1,447",91,130.8,"1,340",7,.,.,.,562.5,"6,478",498
