Release: EDGARv4.3.2 of September 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timeseries 1970-2012 of GHG per GDP emissions by country in ton CO2eq / 1000USD GDP / year (GWP-100 of AR4).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reference: European Commission, Joint Research Centre (EC-JRC)/Netherlands Environmental Assessment Agency (PBL). Emissions Database for Global Atmospheric Research (EDGAR), release EDGARv4.3.2  (1970 - 2012), http://edgar.jrc.ec.europa.eu/overview.php?v=booklet2017&dst=GHGgdp, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite: Janssens-Maenhout, G., Crippa, M., Guizzardi, D., Muntean, M., Schaaf, E., Olivier, J.G.J., Peters, J.A.H.W., Schure, K.M., Fossil CO2 and GHG emissions of all world countries, EUR 28766 EN,Publications Office of the European Union, Luxembourg, 2017, ISBN 978-92-79-73207-2, doi:10.2760/709792, JRC107877 and Janssens-Maenhout, G., Crippa, M., Guizzardi, D., Muntean, M., Schaaf, E., Dentener, F., Bergamaschi, P., Pagliari, V., Olivier, J.G.J., Peters, J.A.H.W., van Aardenne, J.A., Monni, S., Doering, U., Petrescu, A.M.R. (2017) EDGARv4.3.2 Global Atlas of the three major Greenhouse Gas Emissions for the period 1970-2012, Earth Syst. Sci. Data Discuss., https://doi.org/10.5194/essd-2017-79, in review, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO_CODE,ISO_NAME,substance,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
KHM,Cambodia,CO2eq/GDP,2.805713,2.128578,1.586141,1.393353,1.420279,1.770518,1.762948,1.722166,1.953236,1.619314,2.817959,2.817393,3.402034,3.490969,2.594584,3.148672,3.160308,2.943684,2.899129,2.643822,2.53417,2.435878,2.285157,1.88217,1.572997,1.828082,1.722917,1.67558,1.613852,1.483081,1.33065,1.249909,1.203726,1.195914,1.038769,1.004099,0.944808,0.884215,0.852261,0.905825,0.866484,0.846786,0.78319
CMR,Cameroon,CO2eq/GDP,0.714961,0.715759,0.662715,0.612534,0.606958,0.618301,0.572368,0.655529,0.620121,0.523153,0.558052,0.524148,0.437969,0.795378,0.759883,0.701877,0.82245,0.704689,0.443926,0.679077,0.711065,0.731441,0.756768,0.875672,1.735413,1.598029,1.390593,1.257462,1.164235,1.089403,1.009453,0.936364,0.860868,0.826126,0.819352,0.81663,0.79703,0.792326,0.762968,0.762726,0.67955,0.657059,0.62979
CAN,Canada,CO2eq/GDP,1.123099,1.112764,1.098303,1.08517,1.017557,0.956845,0.96878,0.940076,0.919413,0.91633,0.891134,0.83979,0.77855,0.802817,0.830461,0.79386,0.733025,0.735159,0.750333,0.735332,0.690005,0.700058,0.716751,0.700707,0.697168,0.685646,0.698912,0.684993,0.650753,0.632593,0.622868,0.597186,0.585367,0.591763,0.569786,0.549894,0.525628,0.532746,0.520964,0.5111,0.50506,0.494793,0.494016
CYM,Cayman Islands,CO2eq/GDP,0.189925,0.186109,0.232234,0.220931,0.201056,0.222101,0.164657,0.17359,0.140321,0.131368,0.133107,0.15551,0.13096,0.126224,0.110635,0.195947,0.158209,0.139816,0.239948,0.231991,0.19932,0.195702,0.21211,0.201748,0.301762,0.247072,0.193297,0.221054,0.196545,0.2079,0.19576,0.191315,0.244282,0.172304,0.353419,0.27253,0.232478,0.758082,0.257763,0.342988,0.189327,0.387463,0.789921
CAF,Central African Republic,CO2eq/GDP,0.881024,0.881827,0.963356,1.052041,0.989046,1.118927,1.143525,1.242326,1.271996,1.525044,1.656142,1.760022,1.646003,1.875364,1.955927,1.844062,1.846121,1.764793,1.798836,1.831205,1.731417,1.889842,2.07233,2.103291,2.090169,2.017848,2.15886,2.145075,2.102698,2.071641,2.196226,2.162683,2.138288,2.326848,2.266927,2.31874,2.304728,2.343199,2.296566,2.314318,2.305888,2.401052,2.360804
TCD,Chad,CO2eq/GDP,1.263427,1.169555,1.201633,1.193534,1.060719,0.998909,0.9867,1.144913,1.21139,1.173642,1.963806,2.125743,2.42987,2.297775,1.675725,1.611297,1.57183,1.566143,1.573028,1.528651,1.537328,1.455295,1.373917,1.645132,1.539839,1.563983,1.556682,1.620914,1.54443,1.584956,1.62485,1.507516,1.433166,1.328022,1.05243,0.930529,0.941045,0.974648,0.974734,0.948187,0.860382,0.878443,0.824424
CHL,Chile,CO2eq/GDP,0.778387,0.936916,0.920222,0.945243,0.874489,0.897994,1.163039,0.934043,0.857006,0.829674,0.716913,0.550314,0.453923,0.516994,0.549703,0.488654,0.470098,0.449975,0.468785,0.493573,0.455139,0.404921,0.377754,0.366986,0.377011,0.366682,0.375684,0.387195,0.377143,0.396089,0.36271,0.342948,0.335549,0.329312,0.333451,0.319889,0.312191,0.329494,0.33078,0.321209,0.312416,0.317898,0.298102
CHN,China,CO2eq/GDP,5.019012,4.572874,4.428629,4.544377,4.286705,4.60161,4.478285,4.853795,5.059154,4.538451,4.277455,3.92038,3.828509,3.645385,3.496893,3.029915,2.780179,2.687688,2.530821,2.333808,2.28157,2.149202,1.929559,1.822567,1.678228,1.63792,1.516381,1.377988,1.294482,1.192341,1.154771,1.094321,1.062178,1.084547,1.118159,1.121202,1.085029,1.01527,0.946071,0.904778,0.863651,0.855017,0.813274
COL,Colombia,CO2eq/GDP,1.029331,0.988349,0.907529,0.840345,0.796245,0.745015,0.733588,0.704898,0.689972,0.637106,0.605329,0.590564,0.587065,0.589098,0.576007,0.564998,0.55355,0.53714,0.512688,0.501478,0.503514,0.496847,0.48566,0.495217,0.461921,0.454578,0.441082,0.451327,0.454432,0.433625,0.42659,0.418965,0.4053,0.391118,0.373144,0.36485,0.342182,0.328402,0.319687,0.325295,0.316464,0.302336,0.281217
COM,Comoros,CO2eq/GDP,0.710638,0.624422,0.62023,0.610609,0.583964,0.579782,0.56917,0.584194,0.574286,0.577106,0.524629,0.489339,0.454941,0.430984,0.423049,0.395046,0.390381,0.390514,0.403455,0.402336,0.42043,0.452722,0.421579,0.412994,0.445735,0.442781,0.457019,0.455546,0.454439,0.462299,0.412672,0.430232,0.423413,0.398887,0.422026,0.42189,0.430182,0.448568,0.471816,0.468333,0.477071,0.481976,0.476389
COD,Democratic Republic of the Congo,CO2eq/GDP,0.321703,0.321826,0.328354,0.347092,0.324498,0.312826,0.389363,0.438983,0.418533,0.447928,0.391461,0.395698,0.379968,0.413317,0.41416,0.402278,0.403307,0.401904,0.407787,0.412805,0.424616,0.452575,0.516405,0.605376,0.804064,0.775135,0.801083,0.854388,0.85204,0.854175,0.944081,0.983194,0.976946,0.978899,0.893776,0.869749,0.845409,0.828932,0.797995,0.786192,0.751257,0.73703,0.701124
COG,Congo,CO2eq/GDP,2.161517,2.392047,2.096996,10.77454,13.62524,7.128168,7.339427,2.073563,1.141743,0.99407,1.175029,1.188236,1.355292,1.381133,1.371098,1.34687,1.330886,1.310064,1.287107,1.064599,0.877244,0.858357,0.838708,0.852599,0.854324,0.940554,1.082471,1.089502,1.162576,1.139498,1.044234,0.960518,0.634855,0.733488,0.724486,0.807807,0.835649,0.739748,0.704299,0.715342,0.695137,0.593052,0.563234
CRI,Costa Rica,CO2eq/GDP,0.560311,0.51894,0.523089,0.544329,0.509353,0.514615,0.506302,0.517437,0.48719,0.474571,0.44088,0.443019,0.434932,0.484683,0.483443,0.441585,0.442702,0.428103,0.412021,0.413329,0.399139,0.401224,0.413481,0.384574,0.380572,0.349629,0.339511,0.322527,0.312197,0.279539,0.266079,0.266142,0.256845,0.252445,0.246513,0.241955,0.227432,0.228333,0.225692,0.225819,0.216028,0.213508,0.204124
