Release: EDGARv4.3.2 of September 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timeseries 1970-2012 of GHG per capita emissions by country in ton CO2eq / capita / year (GWP-100 of AR4).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reference: European Commission, Joint Research Centre (EC-JRC)/Netherlands Environmental Assessment Agency (PBL). Emissions Database for Global Atmospheric Research (EDGAR), release EDGARv4.3.2  (1970 - 2012), http://edgar.jrc.ec.europa.eu/overview.php?v=booklet2017&dst=GHGpc, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite: Janssens-Maenhout, G., Crippa, M., Guizzardi, D., Muntean, M., Schaaf, E., Olivier, J.G.J., Peters, J.A.H.W., Schure, K.M., Fossil CO2 and GHG emissions of all world countries, EUR 28766 EN,Publications Office of the European Union, Luxembourg, 2017, ISBN 978-92-79-73207-2, doi:10.2760/709792, JRC107877 and Janssens-Maenhout, G., Crippa, M., Guizzardi, D., Muntean, M., Schaaf, E., Dentener, F., Bergamaschi, P., Pagliari, V., Olivier, J.G.J., Peters, J.A.H.W., van Aardenne, J.A., Monni, S., Doering, U., Petrescu, A.M.R. (2017) EDGARv4.3.2 Global Atlas of the three major Greenhouse Gas Emissions for the period 1970-2012, Earth Syst. Sci. Data Discuss., https://doi.org/10.5194/essd-2017-79, in review, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO_CODE,ISO_NAME,substance,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
KHM,Cambodia,CO2eq/cap,3.419331,2.796406,2.246447,1.630345,1.33343,1.521028,1.478447,1.474787,1.47773,1.258764,1.931699,1.847296,2.154928,2.11562,1.583364,1.945121,1.968077,1.852051,2.130514,2.128277,2.073994,1.926712,1.894057,1.914279,1.685233,2.01413,1.939006,1.944088,1.914145,1.922355,1.828352,1.819094,1.834383,1.944358,1.831416,1.97551,2.031646,2.059708,2.087851,2.189613,2.186886,2.250137,2.195649
CMR,Cameroon,CO2eq/cap,1.099768,1.120949,1.07473,1.051783,1.048194,1.10241,1.104946,1.197511,1.224202,1.239785,1.332127,1.334033,1.264891,2.402364,2.374919,2.280932,2.807483,2.488554,1.48579,2.032345,2.026382,1.951715,1.897422,1.965311,3.877526,3.615702,3.222087,2.992125,2.834045,2.68895,2.528045,2.39229,2.225758,2.167373,2.171928,2.151253,2.112301,2.104889,2.031118,2.017152,1.802684,1.771519,1.725273
CAN,Canada,CO2eq/cap,22.65539,22.68153,23.2351,23.86977,23.66761,22.56834,22.79266,23.15074,23.17062,23.82865,23.86527,22.7533,21.58065,21.34774,22.42219,22.39817,21.43177,21.60384,22.66422,22.87847,21.65719,21.243,21.68781,21.54169,22.14583,22.09985,22.67315,22.95333,22.46318,22.74487,23.34375,22.57748,22.56128,23.01628,22.60095,22.25533,21.58813,22.0803,21.56374,20.31299,20.48092,20.46561,20.562
CYM,Cayman Islands,CO2eq/cap,6.549306,6.385016,8.218678,8.172473,6.869949,7.909402,6.152764,6.67358,5.612093,5.346527,5.308094,6.605617,6.116916,6.624988,6.289321,5.339491,5.70162,5.901972,10.6058,10.41889,10.00518,9.82949,9.361619,7.691036,8.3915,8.788256,8.519542,7.221868,6.701706,6.408333,6.419488,6.584802,6.289883,6.252142,6.629285,6.386255,6.154497,6.518093,6.506286,6.449831,6.639006,6.925462,6.836349
CAF,Central African Republic,CO2eq/cap,0.991889,1.015306,1.046912,1.067985,1.114589,1.110195,1.129209,1.193945,1.264268,1.500183,1.54551,1.549072,1.590751,1.690536,1.612349,1.625828,1.648387,1.655034,1.654075,1.677791,1.631624,1.728866,1.725976,1.710898,1.73553,1.749878,1.753758,1.792398,1.800398,1.7964,1.819227,1.833145,1.841712,1.860905,1.887918,1.912237,1.936875,2.024402,1.991948,2.013474,2.046762,2.188263,2.206728
TCD,Chad,CO2eq/cap,2.420275,2.403492,2.495055,2.223165,1.822043,1.844981,1.883076,1.976209,2.028081,2.060437,2.060004,2.050227,2.045281,1.990471,1.636986,1.611693,1.645625,1.685423,1.69895,1.719567,1.707492,1.698687,1.67748,1.639219,1.636442,1.627824,1.601526,1.701993,1.675509,1.648333,1.614374,1.610207,1.59794,1.637822,1.670522,1.66418,1.639083,1.693745,1.689043,1.66215,1.654221,1.639934,1.620495
CHL,Chile,CO2eq/cap,6.015425,7.144654,7.797045,7.859277,6.957858,6.716979,7.222955,5.963629,5.871343,6.031768,5.5632,4.545457,3.921116,3.8007,3.859263,3.579292,3.455939,3.426384,3.747894,4.155902,4.175379,3.941686,4.063147,4.16609,4.45584,4.724855,5.134113,5.553014,5.514344,5.68236,5.371101,5.185494,5.123481,5.1697,5.48217,5.499222,5.540596,6.083965,6.24946,5.946253,6.053648,6.456923,6.326088
CHN,China,CO2eq/cap,2.501552,2.496497,2.535285,2.536448,2.510915,2.670635,2.689324,2.836789,3.00853,3.014636,2.935905,2.857845,2.898824,2.965162,3.096589,3.045054,3.106035,3.210904,3.311701,3.342423,3.349014,3.401159,3.444117,3.666108,3.781945,4.065348,4.093882,4.038858,4.066966,4.000638,4.17995,4.263087,4.489778,5.015678,5.657545,6.272171,6.805923,7.229909,7.350643,7.62434,8.01559,8.634322,8.797069
COL,Colombia,CO2eq/cap,4.142359,4.19292,4.159988,4.137997,4.249926,4.203708,4.279082,4.28992,4.302375,4.178951,4.021689,4.008747,3.983939,3.942487,3.832215,3.800891,3.760535,3.782526,3.730582,3.72321,3.79275,3.756682,3.788094,3.883084,3.769305,3.838703,3.738921,3.896135,3.886543,3.503479,3.544946,3.487532,3.411387,3.37381,3.344823,3.381037,3.339974,3.384927,3.37164,3.447301,3.450576,3.475327,3.329042
COM,Comoros,CO2eq/cap,0.874913,0.866098,0.877662,0.865045,0.867522,0.865161,0.873338,0.866616,0.856002,0.850556,0.813354,0.79121,0.754299,0.722769,0.712138,0.671484,0.658311,0.651647,0.664164,0.660434,0.650071,0.643378,0.629845,0.617497,0.61409,0.615256,0.609745,0.615913,0.605349,0.612368,0.589859,0.614685,0.603161,0.566802,0.597601,0.599228,0.613072,0.628821,0.648145,0.639747,0.650893,0.657769,0.655209
