(Thousands of Dollars),United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Public welfare,"743,488,522","8,049,909","2,933,004","16,055,113","7,752,884","143,427,752","9,704,144","4,876,663","2,653,406","27,685,583","13,596,249","2,872,253","2,881,978","26,293,840","15,043,164","6,653,561","4,735,115","11,906,570","12,569,790","3,496,160","13,811,430","24,818,872","21,020,491","16,126,298","6,664,922","9,652,231","2,257,770","2,814,001","4,308,950","2,646,521","19,617,590","6,215,389","75,185,226","15,480,938","1,566,235","28,743,493","7,050,604","12,132,689","33,364,379","3,361,660","8,258,446","1,193,088","13,178,118","41,491,286","4,151,848","1,860,780","13,263,092","12,488,850","4,854,329","11,863,794","858,064"
Hospitals,"96,476,790","3,216,174","32,719",194,"1,179,702","14,770,767","1,220,835","1,505,177","80,136","1,650,534","1,516,192","533,366","51,753","856,042","140,968","2,344,486","2,875,096","2,020,885","355,578","123,145","565,312","717,198","4,947,487","312,266","1,571,709","2,561,844","65,624","196,799","280,519","69,340","2,585,945","1,258,100","6,149,472","2,559,561","52,439","4,128,880","274,332","2,597,111","5,722,369","55,448","2,248,566","22,747","381,398","8,757,926","2,240,945","23,357","5,467,913","3,627,640","161,432","2,396,195","3,167"
Health,"67,445,888","573,886","213,255","591,202","174,227","8,239,367","586,604","1,041,673","467,832","4,827,762","1,268,351","614,728","185,560","1,227,197","607,153","235,274","435,624","437,146","469,650","224,208","2,412,016","1,725,067","2,179,728","604,680","396,486","2,040,039","178,277","292,283","285,724","142,365","2,168,843","381,540","9,927,551","1,720,576","143,284","1,995,476","881,465","1,010,332","3,929,611","237,668","1,273,421","157,181","759,885","3,149,954","367,289","389,462","1,696,816","3,349,419","287,636","644,413","296,702"
Highways,"146,188,370","1,970,758","1,092,861","2,271,219","1,479,961","13,557,827","1,945,756","1,564,188","650,888","9,121,860","2,850,351","555,396","927,436","4,912,529","3,013,419","2,347,346","1,009,205","1,850,184","1,468,951","734,387","2,864,143","2,433,337","3,951,165","3,128,440","1,128,882","1,467,590","746,869","811,826","903,193","522,415","3,911,508","766,340","7,876,706","6,184,868","767,111","4,117,865","2,399,580","1,275,578","9,730,067","522,274","1,888,652","659,719","1,868,246","17,751,237","1,461,572","443,752","5,318,078","3,150,750","1,449,539","2,868,184","494,362"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police protection,"18,102,054","200,242","157,952","297,521","111,318","2,108,433","273,868","266,586","153,581","651,983","496,510","47,796","75,107","525,769","276,793","110,542","120,038","228,159","375,191","94,938","730,343","600,701","555,139","605,841","154,187","256,644","59,375","90,949","94,520","71,891","825,061","158,221","1,098,826","654,101","32,870","556,619","183,130","240,458","1,195,680","95,111","185,035","47,893","236,262","1,137,981","173,039","95,531","731,010","482,501","86,401","53,378","41,029"
Correction,"53,557,159","672,347","330,783","1,112,554","355,923","8,613,192","1,139,197","646,375","359,591","2,784,002","1,309,641","241,705","315,775","1,680,885","746,506","293,910","366,551","632,805","703,783","166,815","1,489,061","1,607,730","1,938,867","660,882","328,748","804,782","214,644","382,990","334,046","132,161","1,597,787","507,215","3,186,752","1,447,176","110,201","1,890,469","623,158","971,910","2,239,988","229,565","522,888","130,376","966,631","4,090,182","368,934","145,208","1,627,430","1,033,601","341,114","1,018,987","141,336"
Natural resources,"25,636,310","269,276","433,478","342,387","281,784","6,154,873","411,338","219,257","72,384","1,792,442","620,097","147,507","306,543","284,597","533,321","298,315","228,677","468,249","780,587","148,888","516,323","287,917","463,896","720,032","292,725","187,695","283,745","219,778","145,321","55,541","510,683","238,295","710,387","765,349","155,855","422,987","190,744","537,322","777,263","79,431","224,054","163,947","392,919","829,748","247,720","114,054","307,419","959,608","268,843","549,728","222,981"
Parks and recreation,"7,400,015","31,113","15,228","92,435","67,986","1,173,105","113,265","52,830","61,697","171,513","208,386","62,999","46,988","291,030","58,519","31,022","38,912","110,966","369,037","8,227","315,581","224,698","183,966","295,005","33,578","41,956","17,690","56,854","34,170","28,204","189,550","57,395","761,362","234,646","27,064","124,458","71,547","118,844","336,991","37,384","137,610","38,202","101,504","264,584","58,889","23,325","180,569","264,578","63,180","49,162","22,211"
Governmental administration,"70,146,474","681,184","724,116","712,935","720,232","9,195,942","1,583,250","1,579,824","676,258","2,577,999","1,126,699","610,239","527,070","1,982,529","839,057","662,476","557,752","1,080,741","938,007","502,255","1,652,183","2,551,119","1,762,722","2,067,903","489,403","923,204","420,246","332,423","416,203","466,122","2,224,898","676,275","6,218,934","2,210,304","220,720","2,221,010","702,677","2,077,224","3,076,473","558,805","697,985","217,796","1,333,415","2,688,717","1,164,456","193,414","1,942,599","1,333,864","598,867","1,014,589","413,359"
