number,nationwide_number,name,sex,year_of_birth,nationality,Military,selection,year_of_selection,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,eva_hrs_mission,total_eva_hrs
330,210,Kregel Kevin R.,male,1956,U.S.,FALSE,NASA- 14,1992,4,pilot,1996,STS-78,STS-78,STS-78,STS-78,405,1266.35,0,0
330,210,Kregel Kevin R.,male,1956,U.S.,FALSE,NASA- 14,1992,4,commander,1997,STS-87,STS-87,STS-87,STS-87,376,1266.35,0,0
330,210,Kregel Kevin R.,male,1956,U.S.,FALSE,NASA- 14,1992,4,commander,2000,STS-99,STS-99,STS-99,STS-99,269,1266.35,0,0
331,211,"Weber, Mary E.",female,1962,U.S.,FALSE,1992 NASA group,1992,2,MSP,1995,STS-70,STS-70,STS-70,STS-70,236,450.5,0,0
331,211,"Weber, Mary E.",female,1962,U.S.,FALSE,1992 NASA group,1992,2,MSP,2000,STS-101,STS-101,STS-101,STS-101,214,450.5,0,0
332,83,"Gidzenko, Yuri",male,1962,U.S.S.R/Russia,TRUE,TsPK-8,1987,3,commander,1995,20,Soyuz TM­22,Mir,Soyuz TM­22,4297,7918.73,3.1,3.1
332,83,"Gidzenko, Yuri",male,1962,U.S.S.R/Russia,TRUE,TsPK-8,1987,3,commander,2000,1,Soyuz TM­31,ISS,STS­102,3383,7918.73,0,3.1
332,83,"Gidzenko, Yuri",male,1962,U.S.S.R/Russia,TRUE,TsPK-8,1987,3,commander,2002,Soyuz  3,Soyuz TM­34,Soyuz TM­34,Soyuz TM­33,237,7918.73,0,3.1
333,7,"Reiter, Thomas",male,1958,Germany,TRUE,ESA-2/EAC,1992,2,flight engineer,1995,20,Soyuz TM-22,Mir,Soyuz TM-22,4297.6,8405.58,8.35,14.25
333,7,"Reiter, Thomas",male,1958,Germany,TRUE,ESA-2/EAC,1992,2,flight engineer,2006,13,STS-121,ISS,STS-116,4108,8405.58,5.9,14.25
334,212,"Gernhardt, Michael L.",male,1956,U.S.,FALSE,NASA Astronaut Group 14,1992,4,MSP,1995,STS-69,STS-69,STS-69,STS-69,260.5,1039.05,6.76,23.26
334,212,"Gernhardt, Michael L.",male,1956,U.S.,FALSE,NASA Astronaut Group 15,1992,4,MSP,1997,STS-83,STS-83,STS-83,STS-83,95.2,1039.05,0,23.26
