year,brand,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,view_count,like_count,dislike_count,comment_count,published_at,title,category_id
2003,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,147160,53,15,2,2011-05-26T16:02:34Z,"Bud Light ""Yoga""",22
2019,Coca-Cola,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,81952,417,56,53,2019-01-25T12:52:39Z,Commercial Ads 2019 - Coca Cola - A Coke is a Coke - Super Bowl 2019,24
2012,Hynudai,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1264,2,0,0,2013-03-03T08:29:48Z,Hyundai Genesis Coupe 2012 commercial,22
2011,Hynudai,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,319,0,0,0,2015-07-07T22:49:30Z,Hyundai Elantra - Another version - Hypnotized  Super Bowl spot commercial 2016,24
2015,Kia,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,81049,74,0,NA,2015-05-12T15:31:55Z,Kia Sorento Official XLIX Ad with Pierce Brosnan Extended    “The Perfect Getaway”,22
2014,Budweiser,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,13141,NA,NA,NA,2015-07-23T20:59:50Z,Budweiser Super Bowl XLVIII Commercial – “A Hero’s Welcome”,25
2007,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,218329,309,8,29,2007-02-05T16:59:54Z,2007 Budweiser Super Bowl Commercial Rock-Paper-Scissors,24
2008,Hynudai,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13312,18,11,24,2008-02-08T02:13:24Z,Hyundai SuperBowl Commercial: 2008Genesis vs. Mercedes & BMW,24
2010,NFL,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,91378,404,14,32,2010-02-08T03:02:38Z,NFL - Super Bowl XLIV Best Fans on the Planet (Reggie Bush Slow Motion),17
2005,Pepsi,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,111,0,0,0,2018-10-07T12:52:37Z,Pepsi iTunes Free Song Promotion (2005),15
2018,Budweiser,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39897,138,8,8,2018-02-01T20:35:53Z,Budweiser 2018 Super Bowl Commercial  “Stand By You”,22
2018,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,33766,144,23,17,2021-01-15T17:41:05Z,Bud Light Legends - Bud Knight,10
2004,Bud Light,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,88445,118,6,8,2007-12-10T08:46:34Z,Bud Light Sleigh Ride Commercial,17
2002,Budweiser,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13245,49,3,0,2010-09-03T04:47:38Z,Budweiser True Cards,27
2006,Budweiser,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,85274,78,16,10,2006-02-06T10:52:23Z,"Super Bowl 2006: Budweiser ""The Wave""",23
2014,Bud Light,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,134186,405,27,29,2014-01-31T22:14:41Z,Bud Light Super Bowl 2014 Commercial - FULL VERSION,24
2009,Coca-Cola,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1452877,3511,296,523,2009-01-31T01:09:16Z,Coca-Cola Avatar,1
2014,Bud Light,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA
2003,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA
2014,Toyota,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,25834,140,5,18,2014-02-03T19:14:10Z,Toyota Highlander - Big Game Ad Starring Terry Crews and the Muppets 2014,22
2009,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,30123,33,2,6,2009-02-02T01:37:54Z,Bud Light - Skier Super Bowl XLIII Commercial 2009,23
2014,Kia,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,17209,198,2,10,2014-02-13T05:35:32Z,'The Truth'   Official Kia Quoris Morpheus Big Game Commercial 2014,2
2014,Hynudai,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,1874,20,0,0,2014-02-03T19:16:21Z,Nice - Hyundai Elantra - Super Bowl Commercial 2014,22
2013,Bud Light,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,546,NA,NA,0,2013-08-21T07:12:08Z,Super Bowl XLVII - Bud Light: The Lucky Chair (2013),24
2008,Bud Light,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,598260,755,54,83,2008-02-01T22:34:12Z,Bud Light Wheel Suck Commercial,23
2003,Budweiser,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,27378,18,2,0,2010-01-04T19:29:19Z,Budweiser great listener,24
2013,Bud Light,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,394,1,0,0,2013-09-01T05:29:21Z,Super Bowl Ad 2013 Bud Light Journey Stevie Wonder,22
2011,Doritos,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,122388,561,8,25,2011-06-20T23:59:47Z,Doritos pug attack commercial original,23
2005,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16997,69,3,2,2021-01-15T17:41:05Z,Bud Light Legends - Skydiver,10
2005,Budweiser,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA
2014,Doritos,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,7952240,18729,1430,607,2013-11-17T22:52:21Z,Doritos Time Machine - Crash the Super Bowl 2014 WINNER OFFICIAL,23
2008,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,555734,414,58,45,2008-02-01T22:05:19Z,Bud Light Wine & Cheese Party Commercial,23
2012,Pepsi,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,582575,1526,138,304,2012-02-03T16:36:54Z,Super Bowl 2012 Commercial: Pepsi - King's Court,22
2012,Doritos,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,86928,130,12,6,2014-11-06T15:01:28Z,Doritos Crash the Superbowl Winner 2012 - Man's Best Friend,24
2012,Toyota,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,116294,1153,13,56,2012-02-05T18:28:12Z,Toyota Camry 2012 Super Bowl Commercial shows Reinvented Possibilities,2
2016,Doritos,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
2002,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3548,13,0,0,2017-12-26T08:00:04Z,Bud Light - Hawk Superbowl XXXVI Commercial,24
2002,Bud Light,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,63129,178,5,15,2008-05-29T10:34:49Z,Bud Light Battle Bot commercial,23
2013,E-Trade,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,139,1,0,NA,2013-02-04T03:24:40Z,E TRADE Baby Super Bowl Commercial  Save It,24
2008,Bud Light,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,24595,26,3,5,2008-02-04T01:12:21Z,Budweiser breath fire superbowl commercial,17
2012,Coca-Cola,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,15776,63,4,2,2013-05-25T19:32:12Z,Coke Coca Cola Polar Bears Super Bowl Open Happiness Campaign 'Argh' TVC Commercial Advert in 2012,19
2004,Pepsi,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,55676,222,9,26,2010-03-14T17:56:01Z,Jimi Hendrix Pepsi Vs Coca Cola Commercial,24
2010,Doritos,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,132054,273,18,15,2010-02-08T01:33:11Z,"Doritos SuperBowl Commercial - ""Dog Shock Collar""",24
