"Dimensions.Crest Elevation","Dimensions.Crest Length","Dimensions.Structural Height","Identity.Name","Identity.Watercourse","Location.County","Location.Latitude","Location.Longitude","Location.State","Identity.Project.Organization","Identity.Project.Year"
"5486.0","1725.0","86.0","Flatiron Afterbay Dam","Chimney Hollow Creek","Larimer","40.3683","-105.2233","Colorado","Colorado-Big Thompson","1951"
"480.5","1400.0","340.0","Folsom Dam","American River","Sacramento","38.7083","-121.1528","California","CVP-Auburn-Folsom","1948"
"6519.0","5421.0","139.0","Fontenelle Dam","Green River","Lincoln. Sweetwater","42.0283","-110.0606","Wyoming","Seedskadee","1961"
"1380.0","9900.0","122.0","Fort Cobb Dam","Cobb Creek","Caddo","35.1667","-98.45","Oklahoma","Washita Basin","1958"
"1697.0","18130.0","142.0","Foss Dam","Washita River","Caddo","35.55","-99.1833","Oklahoma","Washita basin","1958"
"2170.0","1150.0","74.0","French Canyon Dam","Cowiche Creek","Yakima","46.7114132","-120.7922959","Washington","Yakima","1983"
"2596.1","2070.0","110.0","Fresno Dam","Milk River","County Hill","48.6019","-109.9456","Montana","Milk River","1937"
"581.25","3488.0","319.0","Friant Dam","San Joaquin River","Fresno","36.27807901986153","-97.50189279297881","California","CVP-Friant","1939"
"5493.0","1520.0","55.0","Fruitgrowers Dam","Alfalfa Run","Delta","38.826669923445486","-107.9545783996582","Colorado","Fruitgrowers","1938"
"9961.9","25.0","9.0","Fryingpan Diversion Dam","Fryingpan River","Pitkin","39.14447","-106.3146","Colorado","Fryingpan-Arkansas","1965"
"4141.1","1460.0","80.0","Funks Dam","Funks Creek","Colusa","36.27807901986153","-97.50189279297881","California","CVP-Sacramento Canals","19"
"5170.0","75.0","8.0","Garnet Diversion Dam","Uncompahgre River","Delta","36.27807901986153","-97.50189279297881","Colorado","Uncompahgre","0"
"4841.9","485.0","88.0","Gerber Dam","Miller Crek","Klamath","42.2017","-121.1283","Oregon","Klamath","1924"
"4725.5","960.0","199.0","Gibson Dam","North Fork of Sun River","Teton, Lewis and Clark","47.6013","-112.7614","Montana","Sun River","1926"
"402.0","2784.18","135.0","Glen Anne Dam","WE of Glen Anne Canyon","Santa Barbara","34.4708","-119.9125","California","Cachuma","1950"
"3715.0","1560.0","710.0","Glen Canyon Dam","Colorado River Storage","Coconino","36.93754412114758","-111.4837646484375","Arizona","Colorado River Storage","1956"
"1500.0","15275.0","142.0","Glen Elder Dam","Solomon River","Mitchell","39.4967","-98.3133","Kansas","PSMBP - Glen Elder","1963"
"4675.0","2784.18","190.0","Glendo Dam","North Platte River","Casso","42.4833","-104.9833","Wyoming","PSMBP-Glendo Unit","1955"
"8290.0","861.0","298.0","Granby Dam","Colorado River","Grand","40.165","-105.8633","Colorado","Colorado-Big Thompson","1941"
"1311.1","5223.0","550.0","Grand Coulee Dam","Columbia River","Grant, Okanogan","47.955","-118.9833","Washington","Columbia Basin","1933"
"4141.1","2784.18","132.17","Granite Creek Diversion Dam","Unknown","Unknown","39.15397","-106.33482","Colorado","Fryingpan-Arkansas","0"
"1310.0","1128.0","29.0","Granite Reef Diversion Dam","Salt River","Maricopa","33.513233","-111.69228","Arizona","Salt River","1906"
"7218.0","1170.0","118.0","Grassy Lake Dam","Grassy Creek","Teton","44.13","-110.8183","Wyoming","Minidoka","1937"
"5338.0","650.0","36.0","Gray Reef Dam","North Platte River","Natrona","42.56529","-106.7017","Wyoming","PSMBP-Glendo Unit","1959"
"7960.0","1150.0","309.0","Green Mountain Dam","Blue River","Summit","39.8783","-106.33","Colorado","Colorado-Big Thompson","1938"
"4430.0","560.0","135.0","Guernsey Dam","North Platte River","Platte","42.2903","-104.7631","Wyoming","North Platte","1925"
"9715.5","50.0","15.0","Halfmoon Diversion Dam","Halfmoon Creek","Lake","39.18573","-106.38352","Colorado","Fryingpan-Arkansas","1977"
"4190.75","250.0","8.25","Hanover Diversion Dam","Bighorn river","Washakie","43.95874","-108.00087","Wyoming","PSMBP-Hanover-Bluff","1910"
"2853.0","1200.0","105.0","Haystack Dam","Off stream - unnamed internittent creek","Cook, Deschutes, Jefferson","44.4991378","-121.15525","Oregon","Deschutes","1956"
"2124.0","1850.0","142.0","Heart Butte Dam","Heart River","Grant","46.5967","-101.8167","North Dakota","PSMBP-Heart Butte","1948"
"3828.0","2650.0","94.0","Helena Valley Dam","Tenmile Creek Tributary","Lewis and Clark","46.64182","-111.883233","Montana","Helena Valley Unit, Pick-Sloan Missouri Basin Program","1957"
"7199.0","1220.0","269.0","Heron Dam","Willow Creek","Rio Arriba","36.66573390859443","-106.70548439025879","New Mexico","San Juan-Chama","1967"
"1232.0","1244.0","726.4","Hoover Dam","Colorado River","Clark (NV), Mohave (AZ)","36.0163","-114.7372","Nevada and Arizona","Boulder Canyon","1931"
"4122.0","720.0","17.0","Horse Creek Diversion Dam","Horse Creek","Goshen","41.98356","-104.060008","Wyoming","North Platte","1923"
"1915.0","660.0","305.0","Horse Mesa Dam","Salt River","Maricopa","33.5908","-111.3438","Arizona","Salt River","1924"
"2052.0","1652.0","202.0","Horseshoe Dam","Verde River","Maricopa","33.9834","-111.708939","Arizona","Salt River","1944"
"5443.0","1840.0","155.0","Horsetooth Dam","Offstream Storage","Larimer","40.6","-105.1683","Colorado","Colorado-Big Thompson","1946"
"4539.0","1040.0","100.0","Howard Prairie Dam","Jenny Creek","Unknown","42.2168","-122.377","Oregon","Rogue River Basin","1957"
"2780.0","2784.18","23.0","Hubbard Dam","Offstream Storage","Ada","43.5123","-116.3594","Idaho","Boise","1902"
