USA,Mellis Nv,DOE,37.0,-115.0,0.0,0.0,0.0,0.0,0.0,Se,Project 57:1,Surface,24,04,1957
UK,Malden Is,DOE,-4.0,-155.0,0.0,0.0,0.0,300.0,300.0,Wr,Grapple:1,Airdrop,15,05,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.2,12.0,12.0,Wr,Boltzmann,Tower,28,05,1957
UK,Malden Is,DOE,-4.0,-155.0,0.0,0.0,0.0,720.0,720.0,Wr,Grapple:2,Airdrop,31,05,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.1,0.14,0.14,Wr,Franklin,Tower,02,06,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.2,0.0005,0.0005,Wr,Lassen,Balloon,05,06,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.2,10.0,10.0,Wr,Wilson,Balloon,18,06,1957
UK,Malden Is,DOE,-4.0,-155.0,0.0,0.0,0.0,200.0,200.0,Wr,Grapple:3,Airdrop,19,06,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.2,37.0,37.0,Wr,Priscilla,Balloon,24,06,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,0.0,0.0,0.0,Se,Coulomb-A,Surface,01,07,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.5,74.0,74.0,Wr,Hood,Balloon,05,07,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.2,17.0,17.0,Wr,Diablo,Tower,15,07,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-6.8,2.0,2.0,We,John,Rocket,19,07,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.2,10.0,10.0,Wr,Kepler,Tower,24,07,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.2,9.7,9.7,Wr,Owens,Balloon,25,07,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,0.0,0.0,0.0,Se,Pascal-A,Shaft,26,07,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.5,19.0,19.0,Wr,Stokes,Balloon,07,08,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,0.0,0.0,0.0,Se,Saturn,Tunnel,10,08,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.2,17.0,17.0,Wr,Shasta,Tower,18,08,1957
USSR,Semi Kazakh,DOE,50.0,78.0,0.0,0.0,0.0,520.0,520.0,Wr,Nan,Atmosph,22,08,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.5,11.0,11.0,Wr,Doppler,Balloon,23,08,1957
USSR,Semi Kazakh,MTM,50.0,78.0,0.0,0.0,0.0,0.1,0.1,Se,Nan,Atmosph,26,08,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,0.0,0.0,0.0,Se,Pascal-B,Shaft,27,08,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.25,4.7,4.7,Wr,Franklin Prime,Balloon,30,08,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.25,44.0,44.0,Wr,Smoky,Tower,31,08,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.2,11.0,11.0,Wr,Galileo,Tower,02,09,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.2,0.2,0.2,Wr,Wheeler,Balloon,06,09,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.001,0.3,0.3,Se,Coulomb-B,Surface,06,09,1957
USSR,N2 Russ,DOE,73.0,55.0,0.0,0.0,0.0,32.0,32.0,Fms,Nan,Surface,07,09,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.25,1.0,1.0,Wr,Laplace,Balloon,08,09,1957
USSR,Semi Kazakh,MTM,50.0,78.0,0.0,0.0,0.0,5.9,5.9,Wr,Nan,Atmosph,13,09,1957
UK,Marali Austr,DOE,-30.0,131.0,0.0,0.0,0.0,1.0,1.0,Wr,Antler:1,Tower,14,09,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.2,11.0,11.0,Wr,Fizeau,Tower,14,09,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.5,12.0,12.0,Wr,Newton,Balloon,16,09,1957
USA,Nts,DOE,37.0,-116.0,4.1,0.0,0.3,1.7,1.7,Wr,Rainier,Tunnel,19,09,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.2,19.0,19.0,Wr,Whitney,Tower,23,09,1957
USSR,Nz Russ,DOE,73.0,55.0,0.0,0.0,0.0,1600.0,1600.0,Wr,Nan,Airdrop,24,09,1957
UK,Marali Austr,DOE,-30.0,131.0,0.0,0.0,0.0,6.0,6.0,Wr,Antler:2,Tower,25,09,1957
USSR,Semi Kazakh,MTM,50.0,78.0,0.0,0.0,0.0,13.0,13.0,Wr,Nan,Atmosph,26,09,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.5,12.0,12.0,Wr,Charleston,Balloon,28,09,1957
USSR,Nz Russ,DOE,73.0,55.0,0.0,0.0,0.0,2900.0,2900.0,Wr,Nan,Atmosph,06,10,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,-0.2,8.0,8.0,Wr,Morgan,Balloon,07,10,1957
UK,Marali Austr,DOE,-30.0,131.0,0.0,0.0,0.0,25.0,25.0,Wr,Antler:3,Balloon,09,10,1957
USSR,Nz Russ,DOE,73.0,55.0,0.0,0.0,0.0,10.0,10.0,We,Nan,Uw,10,10,1957
UK,Christmas Is,DOE,2.0,-157.0,0.0,0.0,0.0,1800.0,1800.0,Wr,Grapple X,Airdrop,08,11,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,0.0,0.0,0.0,Se,Pascal-C,Shaft,06,12,1957
USA,Nts,DOE,37.0,-116.0,0.0,0.0,0.0,0.5,0.5,Se,Coulomb-C,Surface,09,12,1957
USSR,Semi Kazakh,DOE,50.0,78.0,0.0,0.0,0.0,12.0,12.0,Wr,Nan,Atmosph,28,12,1957
USSR,Semi Kazakh,MTM,50.0,78.0,0.0,0.0,0.0,1.3,1.3,Wr,Nan,Atmosph,04,01,1958
USSR,Semi Kazakh,MTM,50.0,78.0,0.0,0.0,0.0,0.5,0.5,Wr,Nan,Atmosph,17,01,1958
USA,Nts,DOE,37.0,-116.0,0.0,0.0,0.0,0.0,0.001,Se,Venus,Tunnel,22,02,1958
USSR,Nz Russ,DOE,73.0,55.0,0.0,0.0,0.0,860.0,860.0,Wr,Nan,Atmosph,23,02,1958
USSR,Nz Russ,DOE,73.0,55.0,0.0,0.0,0.0,250.0,250.0,Wr,Nan,Atmosph,27,02,1958
USSR,Nz Russ,DOE,73.0,55.0,0.0,0.0,0.0,1500.0,1500.0,Wr,Nan,Atmosph,27,02,1958
USSR,Semi Kazakh,MTM,50.0,78.0,0.0,0.0,0.0,1.2,1.2,Wr,Nan,Atmosph,13,03,1958
USSR,Nz Russ,DOE,73.0,55.0,0.0,0.0,0.0,40.0,40.0,Fms,Nan,Atmosph,14,03,1958
USSR,Semi Kazakh,DOE,50.0,78.0,0.0,0.0,0.0,35.0,35.0,Wr,Nan,Atmosph,14,03,1958
USA,Nts,DOE,37.0,-116.0,0.0,0.0,0.0,0.0,0.001,Se,Uranus,Tunnel,14,03,1958
USSR,Semi Kazakh,DOE,50.0,78.0,0.0,0.0,0.0,14.0,14.0,Wr,Nan,Atmosph,15,03,1958
USSR,Semi Kazakh,MTM,50.0,78.0,0.0,0.0,0.0,0.16,0.16,Fms,Nan,Atmosph,18,03,1958
USSR,Semi Kazakh,DOE,50.0,78.0,0.0,0.0,0.0,12.0,12.0,Wr,Nan,Atmosph,20,03,1958
USSR,Nz Russ,DOE,73.0,55.0,0.0,0.0,0.0,650.0,650.0,Wr,Nan,Atmosph,21,03,1958
