"artist.gender","artist.name","artist.role","data.medium","data.thumbnail","data.title","data.url","dimensions.depth","dimensions.height","dimensions.width","metadata.acquisition date","metadata.creation decade","metadata.creation year","metadata.credit","artist.birth.location","artist.birth.year","artist.death.location","artist.death.year"
"Male","Rothko, Mark","artist","Acrylic paint on paper","http://www.tate.org.uk/art/images/work/T/T04/T04149_8.jpg","Untitled","http://www.tate.org.uk/art/artworks/rothko-untitled-t04149","0.0","1235.0","1730.0","1986","1960","1969","Presented by the Mark Rothko Foundation 1986","Daugavpils, Latvija","1903","New York, United States","1970"
"Female","Rothschild, Eva","artist","Ceramic","","HomeWork","http://www.tate.org.uk/art/artworks/rothschild-homework-t13222","10.0","3005.0","305.0","2010","2000","2009","Presented by the artist and Stuart Shave 2010","Dublin, ire","1971","","0"
"Female","Rothschild, Judith","artist","Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T11/T11810_8.jpg","Untitled Composition","http://www.tate.org.uk/art/artworks/rothschild-untitled-composition-t11810","20.0","595.0","730.0","2004","1940","1945","Presented by the Judith Rothschild Foundation 2004","New York, United States","1921","","1993"
"Male","Rouault, Georges","artist","Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N05/N05906_8.jpg","The Italian Woman","http://www.tate.org.uk/art/artworks/rouault-the-italian-woman-n05906","0.0","498.0","651.0","1949","1930","1938","Purchased 1949","Paris, France","1871","Paris, France","1958"
"Male","Rousseau, Henri","artist","Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N04/N04727_8.jpg","Bouquet of Flowers","http://www.tate.org.uk/art/artworks/rousseau-bouquet-of-flowers-n04727","0.0","495.0","610.0","1933","1900","1909","Bequeathed by C. Frank Stoop 1933","Laval, France","1844","Paris, France","1910"
"Male","Roussel, Thodore","artist","Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N04/N04361_8.jpg","The Reading Girl","http://www.tate.org.uk/art/artworks/roussel-the-reading-girl-n04361","0.0","1613.0","1524.0","1927","1880","1886","Presented by Mrs Walter Herriot and Miss R. Herriot in memory of the artist 1927","Lorient, France","1847","Hastings, United Kingdom","1926"
"Male","Rowe, Cliff","artist","Oil paint on hardboard","http://www.tate.org.uk/art/images/work/T/T12/T12448_8.jpg","Street Scene Kentish Town","http://www.tate.org.uk/art/artworks/rowe-street-scene-kentish-town-t12448","0.0","912.0","609.0","2007","1930","1931","Transferred from the People's History Museum, Manchester 2007","Wimbledon, United Kingdom","1904","","1989"
"Male","Rowell, Kenneth","artist","Lithograph on paper","http://www.tate.org.uk/art/images/work/P/P06/P06749_8.jpg","Two Figures in a Landscape","http://www.tate.org.uk/art/artworks/rowell-two-figures-in-a-landscape-p06749","0.0","721.0","498.0","1976","1960","1963","Presented by Curwen Studio 1976","Melbourne, Australia","1922","","1999"
"Male","Rowlandson, Thomas","artist","Etching and watercolour on paper","http://www.tate.org.uk/art/images/work/T/T11/T11696_8.jpg","A Two OClock Ordinary","http://www.tate.org.uk/art/artworks/rowlandson-a-two-oclock-ordinary-t11696","0.0","352.0","238.0","1997","1810","1811","Purchased as part of the Opp Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","London, United Kingdom","1756","London, United Kingdom","1827"
"Male","Rowntree, Kenneth","artist","Oil paint on board","http://www.tate.org.uk/art/images/work/T/T03/T03935_8.jpg","Souvenir of Venice","http://www.tate.org.uk/art/artworks/rowntree-souvenir-of-venice-t03935","0.0","762.0","635.0","1984","1960","1961","Presented by the Friends of the Tate Gallery 1984","Scarborough, United Kingdom","1915","","1997"
"Male","Roy, Pierre","artist","Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T03/T03537_8.jpg","Boris Anrep in his Studio, 65 Boulevard Arago","http://www.tate.org.uk/art/artworks/roy-boris-anrep-in-his-studio-65-boulevard-arago-t03537","0.0","501.0","653.0","1982","1940","1949","Bequeathed by Mrs M.J.A. Russell 1982","Nantes, France","1880","Milano, Italia","1950"
"Male","Rozen, Felix","artist","Screenprint on paper","http://www.tate.org.uk/art/images/work/P/P11/P11061_8.jpg","[no title]","http://www.tate.org.uk/art/artworks/rozen-no-title-p11061","0.0","591.0","343.0","1983","1980","1981","Presented by Mrs Leslie Oliver through the Friends of the Tate Gallery 1983","Moskva, Rossiya","1938","","0"
"Male","Rubens, Peter Paul","artist","Oil paint on oak","http://www.tate.org.uk/art/images/work/T/T12/T12919_8.jpg","The Apotheosis of James I and Other Studies: Multiple Sketch for the Banqueting House Ceiling, Whitehall","http://www.tate.org.uk/art/artworks/rubens-the-apotheosis-of-james-i-and-other-studies-multiple-sketch-for-the-banqueting-t12919","0.0","630.0","947.0","2009","1620","1628","Purchased with assistance from the National Heritage Memorial Fund, Tate Members, the Art Fund in memory of Sir Oliver Millar (with a contribution from the Wolfson Foundation) Viscount and Viscountess Hampden and Family, Monument Trust, Manny and Brigitta Davidson and the Family, and other donors 2008  ","Siegen, Deutschland","1577","Antwerpen, Belgi","1640"
"Male","Ruby, Sterling","artist","Spray paint on canvas","","SP96","http://www.tate.org.uk/art/artworks/ruby-sp96-t13330","0.0","2135.0","2446.0","2011","2010","2010","Presented anonymously 2010","Bitburg, Deutschland","1972","","0"
"Male","Ruff, Thomas","artist","Photograph, colour, on paper","http://www.tate.org.uk/art/images/work/P/P78/P78091_8.jpg","Portrait 1986 (Stoya)","http://www.tate.org.uk/art/artworks/ruff-portrait-1986-stoya-p78091","0.0","1205.0","1600.0","1998","1980","1986","Purchased 1998","Zell am Harmersbach, Deutschland","1958","","0"
"Male","Rugg, Matt","artist","Painted wood","","Painted Unit Relief","http://www.tate.org.uk/art/artworks/rugg-painted-unit-relief-t00629","165.0","495.0","495.0","1963","1960","1963","Purchased 1963","Bridgwater, United Kingdom","1935","","0"
"Male","Rumney, Ralph","artist","Oil paint, household paint and metal leaf on hardboard","http://www.tate.org.uk/art/images/work/T/T05/T05556_8.jpg","The Change","http://www.tate.org.uk/art/artworks/rumney-the-change-t05556","0.0","1985.0","1524.0","1989","1950","1957","Purchased 1989","Newcastle, United Kingdom","1934","Manosque, France","2002"
"Male","Runciman, Alexander","artist","Etching on paper","http://www.tate.org.uk/art/images/work/T/T03/T03606_8.jpg","Agrippina with the Ashes of Germanicus","http://www.tate.org.uk/art/artworks/runciman-agrippina-with-the-ashes-of-germanicus-t03606","0.0","106.0","144.0","1983","1770","1773","Purchased 1983","Edinburgh, United Kingdom","1736","Edinburgh, United Kingdom","1785"
"Male","Ruppersberg, Allen","artist","19 wooden pieces of furniture, 39 cardboard boxes, 800 digital prints, 2 banners and 8 letterpress prints on paper","http://www.tate.org.uk/art/images/work/T/T12/T12927_8.jpg","The Never Ending Book","http://www.tate.org.uk/art/artworks/ruppersberg-the-never-ending-book-t12927","0.0","0.0","0.0","2009","2000","2007","Purchased with funds provided by the American Fund for the Tate Gallery 2008","Ohio, United States","1944","","0"
"Male","Ruscha, Edward","artist","Acrylic paint on book cover","http://www.tate.org.uk/art/images/work/T/T12/T12913_8.jpg","Vowel #98 (O)","http://www.tate.org.uk/art/artworks/ruscha-vowel-98-o-t12913","0.0","255.0","250.0","2009","1990","1996","Presented by the American Fund for the Tate Gallery, courtesy of Eileen and Peter Norton 2009","Omaha, United States","1937","","0"
"Male","Rushbury, Sir Henry","artist","Graphite, ink and watercolour on paper","http://www.tate.org.uk/art/images/work/N/N04/N04601_8.jpg","St Pauls","http://www.tate.org.uk/art/artworks/rushbury-st-pauls-n04601","0.0","492.0","330.0","1931","1930","1930","Presented by the Trustees of the Chantrey Bequest 1931","Birmingham, United Kingdom","1889","","1968"
"Male","Ruskin, John","artist","Ink and watercolour on paper","http://www.tate.org.uk/art/images/work/N/N03/N03507_8.jpg","View of Bologna","http://www.tate.org.uk/art/artworks/ruskin-view-of-bologna-n03507","0.0","489.0","343.0","1920","1840","1845","Purchased 1920","London, United Kingdom","1819","Cumbria, United Kingdom","1900"
"Male","Russell, John","artist","Pastel on paper","http://www.tate.org.uk/art/images/work/N/N05/N05249_8.jpg","The Fortune-Teller","http://www.tate.org.uk/art/artworks/russell-the-fortune-teller-n05249","0.0","705.0","914.0","1940","1790","1790","Bequeathed by Lionel Wormser Harris through the Art Fund 1940","Guildford, United Kingdom","1744","Kingston-Upon-Hull, United Kingdom","1807"
"Male","Russell, Sir Walter","artist","Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N05/N05105_8.jpg","Carting Sand","http://www.tate.org.uk/art/artworks/russell-carting-sand-n05105","0.0","1118.0","864.0","1940","1910","1910","Presented by the Trustees of the Chantrey Bequest 1940","Epping, United Kingdom","1867","London, United Kingdom","1949"
"Male","Rutherston, Albert","artist","Oil paint on canvas","http://www.tate.org.uk/art/images/work/N/N05/N05258_8.jpg","The Pump, Nash End","http://www.tate.org.uk/art/artworks/rutherston-the-pump-nash-end-n05258","0.0","508.0","406.0","1941","1930","1931","Purchased 1941","Bradford, United Kingdom","1881","Lausanne, Schweiz","1953"
"Female","Rutland, Violet, Duchess of","artist","Plaster on wooden base","","Recumbent Figure of Lord Haddon","http://www.tate.org.uk/art/artworks/rutland-recumbent-figure-of-lord-haddon-n04914","825.0","1822.0","1092.0","1938","1890","1894","Presented by the Manners family 1938","Wigan, United Kingdom","1856","London, United Kingdom","1937"
"Male","Ruwedel, Mark","artist","Photograph, gelatin silver print on paper","","Crater #9","http://www.tate.org.uk/art/artworks/ruwedel-crater-9-p79999","0.0","330.0","255.0","2012","1990","1999","Purchased with funds provided by the Photography Acquisitions Committee 2011","Bethlehem, United States","1954","","0"
"Male","Ryan, Adrian","artist","Oil paint on canvas","http://www.tate.org.uk/art/images/work/T/T00/T00195_8.jpg","Flowers on a Chair","http://www.tate.org.uk/art/artworks/ryan-flowers-on-a-chair-t00195","0.0","432.0","610.0","1958","1950","1958","Presented by the Trustees of the Chantrey Bequest 1958","London, United Kingdom","1920","","1998"
"Female","Ryan, Veronica","artist","Plaster and bronze","http://www.tate.org.uk/art/images/work/T/T12/T12907_8.jpg","Untitled","http://www.tate.org.uk/art/artworks/ryan-untitled-t12907","360.0","760.0","290.0","2009","1980","1985","Presented by the American Fund for the Tate Gallery, courtesy of Howard Karshan to mark his term as Chairman of the Patrons of New Art (1993-1997) 2009","Montserrat","1956","","0"
"Female","Ryland, Adolfine","artist","Limestone","","Isaac Blesses Jacob","http://www.tate.org.uk/art/artworks/ryland-isaac-blesses-jacob-n05112","102.0","533.0","914.0","1940","1930","1933","Presented by the Trustees of the Chantrey Bequest 1940","Windsor, United Kingdom","1903","","1983"
