"groups","claim","status","statistics.sources","date.year","date.month","date.day","statistics.# wounded_low","statistics.# wounded_high","statistics.# killed_low","statistics.# killed_high","statistics.# killed_low_civilian","statistics.# killed_high_civilian","statistics.# killed_low_political","statistics.# killed_high_political","statistics.# killed_low_security","statistics.# killed_high_security","statistics.# belt_bomb","statistics.# truck_bomb","statistics.# car_bomb","statistics.# weapon_oth","statistics.# weapon_unk","target.weapon","target.region","target.subregion","target.country","target.province","target.city","target.location","target.latitude","target.longtitude","target.desc","target.type","target.nationality","statistics.# attackers","statistics.# female_attackers","statistics.# male_attackers","statistics.# unknown_attackers","attacker.gender"
"Islamic State","Suspected","Possible - Too Few Sources","3","2017","12","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","Unspecified","Asia","Western Asia","Iraq","Kirkuk","Al Rashad","An underground tunnel","35.135849","44.087712","Iraqi PMF troops","Security","Iraqi","5","0","0","5","Unknown"
"Islamic State","Suspected","Possible - Too Few Sources","3","2017","12","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","Unspecified","Asia","Western Asia","Iraq","Kirkuk","Al Rashad","An underground tunnel","35.135849","44.087712","Iraqi PMF troops","Security","Iraqi","5","0","0","5","Unknown"
"Islamic State","Suspected","Possible - Too Few Sources","3","2017","12","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","Unspecified","Asia","Western Asia","Iraq","Kirkuk","Al Rashad","An underground tunnel","35.135849","44.087712","Iraqi PMF troops","Security","Iraqi","5","0","0","5","Unknown"
"Islamic State","Suspected","Possible - Too Few Sources","3","2017","12","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","Unspecified","Asia","Western Asia","Iraq","Kirkuk","Al Rashad","An underground tunnel","35.135849","44.087712","Iraqi PMF troops","Security","Iraqi","5","0","0","5","Unknown"
"Islamic State of Iraq and Syria","Claimed","Confirmed Suicide","2","2013","10","3","25","25","7","8","4","5","0","0","3","3","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","Ninawa","Mosul","Checkpoint","36.33","43.11","Iraqi Police station","Security","Iraqi","1","0","0","1","Unknown"
"Unknown Group","Unclaimed","Confirmed Suicide","3","2017","12","7","28","30","1","1","1","1","0","0","0","0","0","0","0","1","0","Unspecified PBIED","Africa","Middle Africa","Cameroon","ExtremeNord","Kolofata","Bia, 3 km from Kolofata","11.162222","14.012778","Cameroonian Civilians in a ""Bustling"" area","Civilian","Cameroonian","1","1","0","0","Female"
"Islamic State","Claimed","Confirmed Suicide","4","2018","1","1","32","50","15","15","15","15","0","0","0","0","0","0","0","1","0","Unspecified","Asia","Western Asia","Iraq","Baghdad","Baghdad","Al Tayaran Square","33.34","44.4","Iraqi civilians helping victims of market suicide bombing","Civilian","Iraqi","1","0","1","0","Male"
"Islamic State","Claimed","Confirmed Suicide","4","2018","1","1","32","50","14","14","14","14","0","0","0","0","1","0","0","0","0","Belt bomb","Asia","Western Asia","Iraq","Baghdad","Baghdad","Market, Aviation Square (al-Tayaran Square)","33.34","44.4","Laborers gathered in square","Civilian","Iraqi","1","0","0","1","Unknown"
"Jaish-e-Muhammad","Claimed","Confirmed Suicide","2","2017","12","7","2","2","2","3","0","0","0","0","2","3","0","0","0","1","0","Unspecified PBIED","Asia","Southern Asia","India","Jammu and Kashmir","Pulwama District","Lethapora","33.88","74.92","Indian Central Reserve Police Force camp","Security","Indian","1","0","1","0","Male"
"Tehrik-i-Taliban Pakistan","Claimed","Confirmed Suicide","4","2018","1","2","16","26","6","7","1","2","0","0","4","5","0","0","0","1","0","Motorcycle bomb","Asia","Southern Asia","Pakistan","Baluchistan","Quetta","Zarghoon Road, central Quetta, near legislative assembly","30.19","67.01","Pakistani Police truck","Security","Pakistani","1","0","1","0","Male"
