Arkansas County,19019,Arkansas,247,8005,554,715,19,0,2770,3928,362,0,5478,7410,726,0,12310,16974,1850,0,1957,2754,363,0
Ashley County,21853,Arkansas,191,8765,372,605,123,0,3125,4672,533,0,5507,8631,1095,0,13131,19156,2213,0,2039,3110,377,0
Baxter County,41513,Arkansas,595,18748,349,532,19,0,5060,6536,126,0,10955,13802,301,0,29210,37137,752,0,8234,10690,175,0
Benton County,221339,Arkansas,2061,82087,1036,1996,3,0,32973,52546,129,0,33653,54150,178,0,123288,189073,729,0,16764,23227,166,0
Boone County,36903,Arkansas,465,15120,341,576,43,0,6118,7443,1035,0,9798,12592,2310,0,26140,31983,4746,0,4648,5695,985,0
Bradley County,11508,Arkansas,220,4673,203,304,83,0,1573,2139,680,0,3033,4268,1175,1,6856,9270,2735,4,1253,1652,439,2
Calhoun County,5368,Arkansas,175,2262,124,124,96,9,1102,1102,743,93,2182,2182,1326,179,5368,5368,3516,442,923,923,657,86
Carroll County,27446,Arkansas,230,11393,335,507,19,0,4062,5353,321,0,7456,9878,439,0,18915,24317,1387,0,3615,4624,224,0
Chicot County,11800,Arkansas,722,4579,467,614,31,0,1705,2198,133,0,3850,5072,282,0,7864,9867,706,0,1488,1865,172,0
Clark County,22995,Arkansas,2612,8783,236,439,113,0,2939,3737,1236,0,5036,8096,2117,0,13693,18920,5220,0,2182,2756,925,0
Clay County,16083,Arkansas,125,6845,206,455,7,0,1993,2959,89,0,3890,6183,201,0,9338,13464,429,0,1889,2726,87,0
Cleburne County,25970,Arkansas,339,11078,244,282,54,0,3769,4571,769,0,7102,8638,1232,0,19645,23238,3314,0,4715,5527,580,0
Cleveland County,8689,Arkansas,52,3416,134,152,15,0,1793,1917,459,0,3021,3243,662,0,7473,7894,1920,0,1227,1273,334,0
Columbia County,24552,Arkansas,1315,9759,181,320,7,0,3307,4565,319,0,6732,9222,681,0,15574,20568,1486,0,2452,3329,290,0
Conway County,21273,Arkansas,286,8463,352,471,70,0,3676,4533,668,0,6152,7643,1253,0,15369,18703,2794,0,2491,3121,488,0
Craighead County,96443,Arkansas,3579,37291,827,1913,11,0,12287,19296,189,0,19650,33261,421,0,48093,75692,742,0,5246,8284,148,0
Crawford County,61948,Arkansas,540,23447,545,828,36,0,11150,15028,792,0,16978,23108,1529,0,43431,56956,3430,0,5845,7564,573,0
Crittenden County,50902,Arkansas,701,19026,667,1553,268,0,5160,11814,1330,0,8294,19848,2583,0,17926,40340,4731,0,1907,4263,663,0
Cross County,17870,Arkansas,225,7002,313,442,164,0,2657,3791,795,0,4562,6416,1763,0,10768,15088,3370,0,1606,2284,612,0
Dallas County,8116,Arkansas,405,3280,233,318,111,8,1171,1625,532,31,2420,3322,1217,85,5057,6852,2605,180,847,1170,494,39
Desha County,13008,Arkansas,56,5321,542,764,32,0,2065,2922,256,0,4655,6368,616,0,8170,11139,1183,0,1245,1631,228,0
Drew County,18509,Arkansas,785,7360,236,343,52,0,2635,3647,396,0,4431,6092,789,0,11943,15518,1747,0,1837,2286,272,0
Faulkner County,113237,Arkansas,4055,42614,919,1640,6,0,18861,24476,357,0,25225,35969,499,0,73506,100049,1480,0,7211,9860,191,0
Franklin County,18125,Arkansas,447,7037,208,322,6,0,3240,4010,157,0,5781,7372,342,0,13512,16484,847,0,2145,2696,109,0
Fulton County,12245,Arkansas,165,5196,146,194,23,0,2287,2433,414,0,5282,5742,726,0,10772,11555,1703,0,2386,2591,320,0
Garland County,96024,Arkansas,2166,40994,1353,2580,25,0,13589,18080,592,0,23273,34101,946,0,63373,85058,2499,0,13310,17840,364,0
Grant County,17853,Arkansas,143,6933,100,139,17,0,3212,3888,509,0,4632,5758,679,0,13376,16198,1994,0,1890,2373,284,0
Greene County,42090,Arkansas,602,16425,310,605,10,0,6854,9656,433,0,9456,14701,543,0,26763,38047,1863,0,3524,5315,300,0
Hempstead County,22609,Arkansas,301,8839,325,579,52,0,3846,5305,737,0,6928,9862,1302,0,15996,20842,3101,0,2728,3225,526,0
Hot Spring County,32923,Arkansas,1571,12664,426,560,105,0,5917,7197,1049,0,9659,12420,1660,0,26034,30900,4369,0,4091,4844,721,0
Howard County,13789,Arkansas,181,5365,213,343,65,0,2631,3253,817,179,4495,5790,1565,342,10371,12620,3443,706,1683,1971,592,112
Independence County,36647,Arkansas,900,14391,391,554,19,0,6499,8087,589,0,11348,14239,1014,0,26828,33512,2439,0,3958,5085,387,0
Izard County,13696,Arkansas,769,5731,159,232,2,0,2079,2446,30,0,4459,5372,44,0,11011,12939,126,0,2433,3025,27,0
Jackson County,17997,Arkansas,2000,6724,232,334,7,0,2567,3212,160,0,6574,8086,417,0,12710,15601,821,0,1790,2424,156,0
Jefferson County,77435,Arkansas,5530,28873,1130,2361,106,0,8237,14894,508,0,16240,28904,1306,0,41345,65452,2255,0,6109,8988,388,0
Johnson County,25540,Arkansas,558,9812,335,411,42,1,4800,5744,459,5,9484,11546,1138,21,19286,22896,2198,37,2875,3443,404,10
Lafayette County,7645,Arkansas,111,3150,240,264,88,0,1492,1612,418,0,3201,3499,868,0,6455,7016,1609,0,1260,1355,284,0
Lawrence County,17415,Arkansas,595,6938,179,311,54,0,2788,3473,973,0,5142,6515,1740,0,11901,14862,4196,0,2003,2531,755,0
Lee County,10424,Arkansas,1756,3624,255,471,43,0,1323,1856,306,0,3678,4860,1425,0,7648,9664,3125,0,1182,1524,307,0
Lincoln County,14134,Arkansas,3445,4207,347,367,68,0,2435,2693,353,0,6291,6604,2474,0,13121,13904,4695,0,1564,1692,236,0
Little River County,13171,Arkansas,123,5411,331,384,6,0,2471,2918,104,0,4091,5102,130,0,10569,12298,406,0,1778,2085,79,0
Logan County,22353,Arkansas,580,8704,162,308,7,0,4045,4964,360,0,7527,9551,714,0,16284,20169,1505,0,2594,3351,230,0
Lonoke County,68356,Arkansas,572,25295,629,862,15,0,13173,16877,224,0,14954,19181,345,0,48074,60903,938,0,5135,6536,156,0
Madison County,15717,Arkansas,79,6174,235,260,86,11,3098,3346,879,25,5745,6128,1727,70,13355,14137,4110,160,2057,2158,708,37
Marion County,16653,Arkansas,141,7411,342,431,38,0,2245,2665,286,0,5883,7004,534,0,12904,15107,1671,0,2964,3596,364,0
Miller County,43462,Arkansas,1480,17219,706,1243,13,0,6602,9329,149,0,10034,16835,352,0,27976,39283,801,0,4032,5508,183,0
Mississippi County,46480,Arkansas,767,17741,769,1364,2,0,6406,10415,24,0,11475,18932,49,0,23343,37087,100,0,2840,4513,14,0
Monroe County,8149,Arkansas,84,3481,201,343,4,0,956,1504,132,0,2144,3237,270,0,4306,6505,689,0,861,1249,154,0
Montgomery County,9487,Arkansas,121,4000,194,214,51,0,1789,1912,445,0,3808,4029,999,0,8394,9088,2187,0,1760,1985,472,0
Nevada County,8997,Arkansas,157,3697,119,190,40,0,1480,1887,519,0,3304,4233,1154,0,6562,8121,2346,0,1222,1437,461,0
Newton County,8330,Arkansas,51,3571,121,131,61,5,1669,1731,468,32,3341,3471,946,60,7994,8245,2405,136,1596,1642,505,26
Ouachita County,26120,Arkansas,352,11003,571,946,201,0,3972,5347,1076,0,8059,11119,2248,0,17673,23111,4903,0,2970,3938,841,0
Perry County,10445,Arkansas,152,4170,212,216,32,0,2055,2250,328,0,3450,3788,555,0,9107,9887,1490,0,1493,1663,281,0
Phillips County,21757,Arkansas,246,8491,1018,1389,272,5,4221,5633,1216,4,8193,10698,2551,27,15876,20249,4877,49,2523,3053,896,8
Pike County,11291,Arkansas,196,4457,151,178,53,0,1972,2342,565,12,3512,4329,1058,27,8013,9468,2604,50,1331,1559,521,4
Poinsett County,24583,Arkansas,341,9754,405,584,24,0,3501,5001,339,0,7299,9949,624,0,14517,20425,1570,0,2217,3104,280,0
Polk County,20662,Arkansas,155,8450,367,435,141,1,3962,4479,1675,13,8138,9350,3501,28,16325,18557,6680,47,2939,3482,1037,6
Pope County,61754,Arkansas,3330,23353,608,1077,22,2,9540,12734,374,28,15376,23401,631,65,41029,55381,1595,133,5355,7118,261,33
Prairie County,8715,Arkansas,131,3685,121,174,5,0,1085,1426,89,0,2187,2948,187,0,5216,6818,388,0,1055,1400,70,0
Pulaski County,382748,Arkansas,7938,158772,4608,9682,2,0,44696,76258,113,0,67021,118409,97,0,178902,309423,581,0,20322,36553,87,0
Randolph County,17969,Arkansas,349,7299,197,282,62,0,2710,3414,612,0,5411,6894,1433,0,11922,14740,2486,0,2198,2700,457,0
Saline County,107118,Arkansas,1425,41441,1047,1446,5,0,18123,23967,343,0,18574,24634,501,0,75628,98290,2621,0,11969,14683,844,0
Scott County,11233,Arkansas,79,4368,193,271,35,0,2156,2604,412,14,4489,5509,945,48,8614,10202,1824,85,1436,1717,379,16
Searcy County,8195,Arkansas,71,3574,225,244,73,0,1494,1620,536,0,3668,3952,1200,0,7275,7934,2693,0,1491,1673,534,0
Sebastian County,125744,Arkansas,2235,49599,677,2326,3,0,11225,24210,65,0,15900,39839,128,0,45259,96673,288,0,6034,12836,45,0
Sevier County,17058,Arkansas,173,5975,191,251,27,0,3632,4573,610,0,5385,7221,1021,0,12862,15720,2624,0,1703,2036,424,0
Sharp County,17264,Arkansas,189,7360,201,262,6,0,3073,3455,276,0,7782,8640,792,0,14585,16197,1311,0,3513,3890,254,0
St. Francis County,28258,Arkansas,4085,9616,999,1193,248,0,5402,6261,818,0,9980,11801,1684,0,24050,26782,3206,0,2945,3237,464,0
Stone County,12394,Arkansas,151,5325,169,205,88,0,2346,2491,693,0,5098,5683,1344,0,11044,11905,3097,0,2338,2617,579,0
Union County,41639,Arkansas,524,16951,417,720,29,0,6948,9110,890,0,11597,15695,1630,0,29012,37513,3978,0,4523,5834,665,0
Van Buren County,17295,Arkansas,189,7433,333,391,35,0,3055,3341,370,0,6891,7757,1164,0,14471,16296,1799,0,3033,3683,351,0
Washington County,203065,Arkansas,7563,76389,1626,3365,16,0,22937,40253,321,0,27606,57135,611,0,86812,153658,1437,0,9341,15398,231,0
White County,77076,Arkansas,3252,29342,942,1384,79,0,12526,15819,1105,0,19601,25208,1695,0,49361,63006,4690,0,6756,9033,669,0
Woodruff County,7260,Arkansas,106,3134,324,335,20,0,1582,1650,94,0,3107,3276,234,0,6906,7206,486,0,1245,1290,97,0
Yell County,22185,Arkansas,323,8219,217,323,26,0,4090,5301,467,14,7580,9485,1221,27,16638,20517,2299,64,2743,3221,469,15
Alameda County,1510271,California,37442,545138,1865,15058,2,0,31726,153620,16,0,17774,129690,14,0,133951,661765,121,0,16784,74284,19,0
Alpine County,1175,California,24,497,30,30,19,4,256,256,117,18,418,418,197,28,1175,1175,669,121,166,166,104,17
Amador County,38091,California,4551,14569,459,653,1,0,3817,5309,8,0,6362,8320,36,0,25742,33007,66,0,5265,6952,13,0
Butte County,220000,California,4942,87618,1736,3942,15,0,19183,34907,224,0,30591,61887,448,0,90340,161926,1163,0,17017,26381,203,0
Calaveras County,45578,California,493,18886,292,374,3,2,6113,7681,18,8,10271,12392,26,11,32473,39836,95,38,6831,8408,12,2
Colusa County,21419,California,225,7056,160,247,111,26,2859,4407,1843,65,3205,5169,2201,201,10087,15263,6384,455,1326,1893,761,135
Contra Costa County,1049025,California,10314,375364,2875,9994,0,0,63934,162244,0,0,32706,118777,0,0,256720,650852,0,0,35907,84508,0,0
Del Norte County,28610,California,3818,9907,393,715,130,6,3625,5261,643,51,7712,11006,1540,97,18955,25150,2943,178,2561,3425,480,28
El Dorado County,181058,California,1643,70223,1340,2159,0,0,27169,35837,31,0,23517,32561,45,0,120588,157639,207,0,18360,23070,31,0
Fresno County,930450,California,17523,289391,2574,11767,92,35,63556,164710,1651,96,85585,245280,2515,92,216370,557625,6748,356,21513,55599,905,13
Glenn County,28122,California,316,9800,211,350,28,2,3305,5928,309,10,4948,9247,518,65,12557,21313,1420,180,1780,2878,218,20
Humboldt County,134623,California,5014,56031,1035,2002,106,1,10328,17917,877,1,19483,34652,2183,10,50036,87979,4858,19,6939,12096,690,0
Imperial County,174528,California,10684,49126,704,2107,134,80,12500,33344,1936,409,24907,55597,5651,1023,50393,114703,11817,2173,4735,10766,1532,718
Inyo County,18546,California,433,8049,152,228,90,60,1852,2518,696,135,2403,3261,1157,419,9801,12753,4225,1185,1954,2575,824,233
