"Year","Data.Meat.Beef","Data.Meat.Lamb","Data.Meat.Pork","Data.Meat.Average","Data.Fuel.Coal","Data.Fuel.Natural gas","Data.Fuel.Petroleum","Data.Fuel.Average","Data.Grain.Corn","Data.Grain.Rice","Data.Grain.Rye","Data.Grain.Wheat","Data.Grain.Average","Data.Metal.Aluminum","Data.Metal.Chromium","Data.Metal.Copper","Data.Metal.Lead","Data.Metal.Manganese","Data.Metal.Nickel","Data.Metal.Steel","Data.Metal.Tin","Data.Metal.Zinc","Data.Metal.Iron ore","Data.Metal.Gold","Data.Metal.Platinum","Data.Metal.Silver","Data.Metal.Average","Data.Plant extract.Cocoa","Data.Plant extract.Coffee","Data.Plant extract.Cotton","Data.Plant extract.Cottonseed","Data.Plant extract.Palm oil","Data.Plant extract.Rubber","Data.Plant extract.Sugar","Data.Plant extract.Tea","Data.Plant extract.Tobacco","Data.Plant extract.Average"
"1946","176.0162928","131.0307245","59.84792183","122.29831304333334","137.7922998","28.89130412","104.8247626","90.50278884","160.6005026","62.52470921","161.3109503","116.1363814","125.1431358775","17.83530297","38.68255593","35.56014065","77.31200019","88.38584846","29.23643808","63.9103098","75.99559749","83.35607001","53.35786929","77.97044902","128.1477697","55.73704462","63.49903047769231","28.5148837","94.56912371","133.5561348","206.8541983","62.85174586","16.18101196","52.25654963","60.76455076","262.3459928","101.98824350222223"
"1947","148.7321293","108.7305663","54.45379062","103.97216207333334","145.747538","30.32423003","126.1921383","100.75463544333333","201.3433098","87.55829272","165.8205523","138.6628503","148.34625128","15.59990242","41.64215373","47.17137452","122.3180197","80.7966889","25.57206804","61.55796638","95.002697","87.71584732","53.3373969","75.10223031","116.8483697","41.947401","66.50862430153846","75.69406169","114.7333367","133.0085684","215.8571296","113.7745567","13.19192992","61.79998614","73.63295148","230.5011666","114.68818747"
"1948","114.1028766","73.19752459","49.23833813","78.84624644","162.1941285","32.82186526","156.7078962","117.24129665333334","180.0567379","86.09023747","96.48642914","120.0722826","120.6764217775","16.23031621","45.87683911","46.01755197","139.5481668","77.95965194","24.40033223","64.87845897","112.2179207","107.4442344","55.81253976","68.82363042","157.00736","36.51665231","73.28720421692309","79.88221904","111.113814","117.2097032","156.6639936","129.2793384","12.84423692","50.52570572","72.65862754","201.3445335","103.50246354666666"
"1949","91.32390295","65.06169513","57.74350104","71.37636637333334","160.1483632","28.40433119","158.2191254","115.59060659666666","120.0265844","75.06467042","81.74845278","104.1037846","95.23587305","17.74371393","46.31925726","40.47554087","119.9651249","85.62492396","27.36603774","71.01579489","113.4072086","95.08661718","64.77434319","65.8409731","135.0241915","38.6069053","70.86543326307692","43.88085939","136.5302963","114.3424607","102.1545579","96.39607839","10.34744526","50.16973236","78.13577427","201.5685195","92.6139693411111"
"1950","62.41623485","33.78982794","52.33890426","49.51498901666667","157.3238603","32.82186526","156.7078962","115.61787392000001","134.5827479","62.69866843","88.38966585","106.4005876","98.017917445","18.29784006","44.66955387","44.34789271","102.881174","103.0315014","30.48504983","72.85703968","108.0242462","107.5734052","70.77260197","67.33813028","139.0800056","41.73331693","73.16090444076923","64.58922327","209.55456","134.6588476","201.8913965","86.58063947","23.98747207","59.48442422","68.94115925","207.2620804","117.43886697555556"
"1951","57.63766825","36.5256865","44.23171307","46.131689273333336","148.2185669","30.4214979","145.2473495","107.96247143333335","148.9324793","61.3867043","95.05853574","108.5262496","103.475992235","18.20529452","44.75970527","46.83327217","125.4725789","99.26495442","33.89530408","72.00474326","133.1797875","129.3020145","71.99646209","60.38608278","152.0008694","42.54934945","79.21926294923077","66.20722997","206.4614008","138.9184237","149.7443657","126.9722357","31.95510149","62.77309289","80.18800881","227.0698046","121.14329596222223"
"1952","59.95796456","34.54264227","39.21676665","44.572457826666664","144.4492811","34.02100685","142.1290448","106.86644425000001","143.0298805","65.01820591","105.2569062","101.7955095","103.7751255275","18.18917482","51.46354587","45.82781209","115.5525101","111.7483907","35.11864407","71.98231393","123.5409151","113.9671581","81.01839163","56.62372663","153.7401956","39.41212713","78.32191582846154","64.60171335","200.9690052","120.7778587","147.1638418","74.23321934","20.4173437","45.17580398","65.43950422","221.9265083","106.7449776211111"
"1953","66.88348059","45.36544795","53.01552313","55.08815055666667","143.9520885","37.98747471","149.0711382","110.33690047","127.5282971","72.12920845","78.35245397","88.8884515","91.724602755","19.4489224","59.77303071","54.13060709","93.93756959","126.9119015","36.51588785","76.54728043","97.54758534","75.64453841","88.18198449","52.43405119","148.2775972","40.05665167","74.56981599","67.19824891","216.0973767","109.0569164","110.5969707","65.13873175","12.73185756","36.66624955","77.72775692","232.3193521","103.05927339888889"
"1954","64.18286811","37.3750058","52.53268964","51.36352118333334","131.6562243","42.0041728","154.0402034","109.23353349999998","126.3845246","64.87828281","73.13795029","91.95022747","89.0877462925","20.18866061","45.96487032","55.53322225","97.3642055","116.2653799","37.16517857","79.37463029","93.02122248","74.24304456","87.11119554","51.62496292","138.333686","39.8629253","72.00409109538462","104.1878412","287.46804","107.691762","125.9344212","66.4136815","12.35952242","34.88399896","111.7132687","235.5692209","120.69130632"
"1955","76.04141443","46.42892194","41.63761193","54.702649433333335","131.2746221","42.16102184","154.6154095","109.35035114666665","111.439415","58.35687328","64.31051266","90.99719783","81.2759996925","22.03024315","46.67929158","70.38442356","105.3070635","107.5037904","40.34353996","84.39087295","96.31913218","85.79239893","93.25695581","51.68906603","137.084212","42.45094921","75.63322609692308","67.84635882","208.422742","108.2549107","93.49334295","69.32154217","20.54022901","34.7990444","106.3562815","232.9902618","104.66941259444444"
"1956","129.4020146","85.70903347","38.36748468","84.49284424999999","138.520001","45.69460565","152.3399804","112.18486235","114.3237612","55.62914877","69.34181673","95.21649912","83.627806455","21.9805626","51.34027121","77.3582054","109.7202611","123.7378595","38.933039","89.47344366","101.586787","92.66065571","97.87421915","50.96459554","163.9779093","42.24216245","81.6807670476923","48.66629875","212.5298467","103.330228","110.2930654","78.80230725","17.66877429","36.82698961","101.3479621","227.5298963","104.1105964888889"
"1957","110.139368","79.57545789","50.50860289","80.07447626","140.9464659","44.12004907","159.8262921","114.96426902333333","96.01616901","53.58240913","62.33501026","91.11047479","75.7610157975","22.46111951","57.8330373","52.83081501","97.00775868","151.4917172","42.84902309","94.2929956","93.10151088","67.56763911","99.66970258","49.31336635","138.7363656","40.07258294","77.47904875769231","52.66845445","198.3906528","97.19966922","101.9058002","77.11653344","15.55020996","52.72320356","89.76047654","240.253876","102.84098624111111"
"1958","114.6998428","77.45674756","56.57204683","82.90954573","131.2639534","46.84946743","155.2747251","111.12938197666666","92.08095974","55.10260082","57.30447818","81.83791006","71.5814872","21.34658931","56.29322268","44.78400023","77.99914581","131.8708977","41.70816044","93.53066502","89.55686441","53.18494195","99.05211736","48.00038944","99.50629864","38.65815447","68.88395749692309","74.21978442","164.8933728","95.87077094","85.02217771","71.1054406","13.64131384","34.80970038","90.46590772","236.4438533","96.27470241222223"
"1959","259.8091265","125.5305577","41.16141608","142.16703342666665","128.0450521","50.33586469","149.6747644","109.35189372999999","89.134256","49.80954234","55.71846704","77.55977966","68.05551126","21.08560024","67.29497354","53.75979775","77.99744015","123.0107599","41.3648834","98.48256354","95.28459344","65.92067378","100.7314012","47.5996974","110.3994516","39.37386747","72.48505410846154","60.81560381","125.5804942","92.12427063","74.69656118","71.49731819","17.61489004","29.29513988","89.02397785","236.4524708","88.56674739777777"
